"age1","com_age","mean_ratio","hpd50lower","hpd50higher","hpd75lower","hpd75higher","hpd95lower","hpd95higher","ratio_gam_fit"
206.397,206.33,0.039648414800387,0.0428489066902703,0.0886271970319071,0,0.0683818150914154,0,0.0917024611284725,0.125957338410392
207.398,207.265,0.0976613005948954,0.0609393879087586,0.115507584501621,0.0417428064988173,0.135548153414991,0.0157614096868143,0.179477781401648,0.131745577023032
208.4,208.201,0.126849238650136,0.0726585175814154,0.136659696617071,0.0594875005055186,0.172939999195038,0.0269966515602122,0.233275376244786,0.13753629008374
209.401,209.137,0.1546013168965,0.0892987176660942,0.170810351121292,0.0720489903940293,0.210609411888938,0.0448036518342334,0.279028246106525,0.143312530160785
210.402,210.073,0.154148656629239,0.0931001680788439,0.167407599967188,0.0771214125824179,0.207140362186045,0.0480248160171375,0.274095475394916,0.149072441701644
211.404,211.008,0.176009853296534,0.106358702239063,0.197467738192096,0.0821514707898207,0.239664878154707,0.0544520333222334,0.323876842619054,0.154812152891717
212.405,211.944,0.171239475483258,0.110944791102672,0.196440957474042,0.0811874579440632,0.225721472633095,0.0530320117053137,0.301585477058558,0.160508969594591
213.407,213.816,0.171305391813758,0.107941029943859,0.198120809656471,0.0779895843683379,0.234495552644373,0.043994146642654,0.314445721995921,0.166161670666011
214.408,214.751,0.184406549945338,0.105559759004832,0.20301657682969,0.0854901987367631,0.252226723742888,0.0496849902203467,0.329761541302152,0.171745328315999
215.409,215.687,0.213656500220295,0.138148856821372,0.245722105222481,0.116213892445536,0.298034049214712,0.0681135122234506,0.371549559073783,0.177251203588183
216.411,216.623,0.20640158193042,0.135371383318206,0.2341578580118,0.109611836206997,0.277328974630758,0.0732334238112831,0.359614994263394,0.182669746650649
217.412,217.558,0.1830849375405,0.11711058507735,0.207455568867882,0.089091314543592,0.244088621252927,0.0581139194499968,0.330431353267242,0.187974989809629
218.414,218.494,0.201150522551983,0.119802172530474,0.219382837068814,0.10310212198826,0.27288516208193,0.0691372421126875,0.34943299495516,0.193162381960579
219.415,219.43,0.214720239425764,0.14444523567653,0.251693891056527,0.114387540453191,0.294510209375126,0.0725890907641463,0.38316570628319,0.198206702095977
220.416,220.366,0.248537048366845,0.171371583112658,0.286776662169988,0.135921687356671,0.336240162965691,0.0916815481192894,0.429270150605798,0.203098829432278
221.418,221.301,0.220395026927103,0.141279796806445,0.25049468350686,0.111764347590204,0.29724791427048,0.0730315690217651,0.383309077989648,0.207829743494593
222.419,222.237,0.248726473250495,0.17043968002048,0.282522796364311,0.136511094334072,0.329170725418337,0.0965585382314935,0.421112512713182,0.212377241155053
223.421,223.173,0.274394515493923,0.172549886131775,0.303442857901459,0.147150433168581,0.367684230686797,0.0971987299168911,0.46760185943382,0.216738720030165
224.422,224.109,0.277589382997855,0.20011397644054,0.329940103686002,0.147531104083179,0.370295706162173,0.0814601386618398,0.467581367301509,0.22089505238542
225.423,225.044,0.260310083500283,0.174241791279585,0.296547530851703,0.133704137844037,0.342862923731327,0.0977235435736534,0.452719917130367,0.224841667971794
226.425,225.98,0.259805350836506,0.178770830286966,0.294677113642314,0.152000854684155,0.347820454665154,0.0987946875837316,0.432454591133362,0.228574679487389
227.426,227.852,0.264768745909721,0.185727860067362,0.310021595601175,0.150689152351941,0.360963255921428,0.095267358068209,0.445449940394221,0.232080749754549
228.428,228.787,0.255431126025073,0.185943824899279,0.299897774048807,0.146002816799402,0.33627885664953,0.0988354916214848,0.418886584205868,0.235362697209834
229.429,229.723,0.283522510171011,0.220052827998378,0.331621986046203,0.182821513747014,0.368372085328921,0.129576228673097,0.444244970349234,0.238411555699838
230.43,230.659,0.267820657820357,0.1965697142692,0.305407659965409,0.164750413645302,0.352979916922738,0.121321886968838,0.442572158924897,0.241230104758289
231.432,231.594,0.233482959049641,0.16593902987382,0.263398654035164,0.137586684811144,0.302529265850455,0.104245607977617,0.383663394143369,0.243822028302816
232.433,232.53,0.164014882663602,0.114576012111425,0.180379117511282,0.096158626937298,0.209682958383873,0.0729297784657125,0.263933158158019,0.246185182404173
233.435,233.466,0.188338574544674,0.13110040919017,0.20544825966372,0.113905068161391,0.241881204572063,0.0897912300600757,0.308827059036661,0.248329116673518
234.436,234.402,0.167262867479172,0.114339636996605,0.186825230117566,0.0967009166679866,0.220233886398764,0.0623068998287965,0.277936110021412,0.250256118790989
235.438,235.337,0.200693008224239,0.135439585991615,0.222536622721982,0.111608509202056,0.2621490931624,0.0762045577776209,0.335805140773757,0.251978295306617
236.439,236.273,0.191334666148315,0.138136286244814,0.219289994733758,0.108339010667653,0.246623536160375,0.0790600170650385,0.316894548224574,0.253502046307073
236.97,236.871,0.226003619838921,0.163999456929544,0.258192520939983,0.131162824921236,0.290981967392378,0.0867554770462967,0.356088763323125,0.25423435578833
237.471,237.338,0.244404874163692,0.179764027596619,0.276054429795191,0.149596223884334,0.31630923313441,0.109638410219788,0.389316653041191,0.254879161236421
238.442,238.145,0.240550788159968,0.174759886511745,0.265635293742366,0.158967331955186,0.317226196416684,0.109017882943971,0.377097338490828,0.256008109535112
239.443,239.08,0.255433370894178,0.187685454887822,0.291646490588822,0.153984183355458,0.332852230181339,0.108741034711175,0.411486796754965,0.257017613587809
