"age1","com_age","mean_ratio","hpd50lower","hpd50higher","hpd75lower","hpd75higher","hpd95lower","hpd95higher","ratio_gam_fit"
234.384,234.077,0.0177899537831647,0.0142308628811348,0.0185611723238975,0.0135717759192418,0.021108152260465,0.0117090836226966,0.0247522165380006,0.0362554867030121
235.384,235.079,0.020569771751784,0.0118802664468753,0.0208493418724987,0.0102570923742198,0.0261381703043853,0.00817741783879493,0.0371408453409268,0.0524965492334443
236.384,236.082,0.0295556901864216,0.0154757195510363,0.0305248001044763,0.012396836452986,0.0391082354263592,0.00655917640287478,0.0566059910761487,0.0687329629047159
236.942,236.791,0.0925123889387932,0.0454220882875432,0.0953830797549786,0.0359047374132687,0.122794016096883,0.0204086184762676,0.183094778656117,0.077788194188956
237.442,237.293,0.155826588365998,0.0838671121866042,0.162726354600973,0.0699685985502246,0.206567427230306,0.042149295937901,0.288878546638785,0.0858975030660125
238.385,238.087,0.228788193501592,0.137776981054885,0.249381475660495,0.113413051498308,0.306752759595659,0.0800185795714466,0.417974566867729,0.101173148417189
239.385,239.089,0.253861317640275,0.166133551829911,0.285216058393904,0.136991732926382,0.341805049262478,0.0892780049572081,0.436593109524666,0.117332429093586
240.385,240.091,0.270883271090065,0.185224501167043,0.317545163262464,0.138283506083386,0.363057181771936,0.0905704797420018,0.458174760329273,0.133432408626635
241.386,241.094,0.198037530522761,0.112087176312013,0.213718919910482,0.087551212659413,0.264397810276957,0.0580891539496617,0.360259491942784,0.149468359545106
242.386,242.096,0.152020527264691,0.0895823539276888,0.168089445141882,0.057542787084652,0.197603066296149,0.0392588379362737,0.28814451909476,0.165385958615696
243.386,243.099,0.137024078474226,0.0696918213901574,0.145682649785362,0.0485539760050806,0.179315836174917,0.0360877562094591,0.259842990915029,0.181177806588382
244.386,244.101,0.107014965866121,0.0515793291619615,0.10635378695217,0.0373556971268929,0.135069260688479,0.0293025238102679,0.214786482401508,0.196819593091127
245.387,245.104,0.0754423040966127,0.0382694503440593,0.0743827118608687,0.0274955930734309,0.0949753089089365,0.0189450583859281,0.155458074080552,0.212301864453796
246.387,246.106,0.064596601437804,0.0339993060312599,0.067899886381025,0.024014688105595,0.0830671025293366,0.0189335265632357,0.125006101369119,0.227568642360903
