"age1","com_age","mean_ratio","hpd50lower","hpd50higher","hpd75lower","hpd75higher","hpd95lower","hpd95higher","ratio_gam_fit"
171.489,171.92,0.0198301431493564,0.0185899999342149,0.0208309688500847,0.0179205372521328,0.0216539197085567,0.0164515745051207,0.022812188838549,0.0573983591734453
172.494,172.922,0.0257130115090967,0.0203497469489015,0.0272546719791077,0.0185635967067694,0.0300049263770623,0.0168441194353509,0.0363649140771517,0.0596576696579311
173.5,173.925,0.0302051814173746,0.0237960136881889,0.0325092154693261,0.0213881073363397,0.0365852836389674,0.0174235289524631,0.0452042077884183,0.06192232292997
174.351,174.563,0.0435851922741779,0.0329808299062466,0.0472532110603719,0.0287031505894366,0.0536807361845411,0.0232988541357402,0.0673171543650433,0.0638441250128227
174.854,175.064,0.0654295257716593,0.05281227885642,0.0713699743966992,0.0477688971003212,0.0791819774158472,0.0396736107957645,0.0915782653202101,0.0649844520292512
175.51,175.93,0.0801151716629256,0.0659200825614895,0.0862362651902101,0.0610396032133469,0.0953083768849563,0.0538968981824734,0.10988724473898,0.0664787492318117
176.516,176.932,0.10380553648978,0.0931284692063689,0.108112593755347,0.0890103029469517,0.115498918704253,0.0824276354074005,0.129405190947642,0.0687923466814959
177.521,177.935,0.104696733176879,0.0944616065501615,0.10920972514204,0.0897117913507715,0.115492641800129,0.0831670961866922,0.128730319391718,0.071140933007913
178.527,178.937,0.112976041570503,0.0958517038587165,0.122749716704069,0.0888353676364633,0.135414507244478,0.0757595681817046,0.153839850513316,0.0735422478783053
179.532,179.94,0.0825563583163435,0.0680438105253267,0.08609079268181,0.0644904723195372,0.0957766731519583,0.059186196555127,0.112279656603413,0.0760054006252733
180.537,180.942,0.108287609823412,0.0904841123479974,0.116492407005938,0.0830794551750636,0.126975083422049,0.0740872568588228,0.147460247190927,0.0785471700740923
181.543,181.945,0.113959940107288,0.100743343145114,0.120021709745641,0.0942705130391545,0.127701128585658,0.0848291729126597,0.146345205997672,0.0811849185110927
182.548,182.947,0.112241585805764,0.0987436449882882,0.118021634332389,0.0940967097622664,0.126843397509213,0.0844553797805414,0.139364186835876,0.0839281055403824
183.553,183.949,0.0961589694572011,0.0834805796332394,0.0984431348209451,0.0803541379984568,0.106430001896593,0.0768249847783186,0.12075213019221,0.0867937418109241
184.559,184.952,0.0956324947199426,0.0868651254189551,0.0985140321415496,0.0844735439753383,0.10484811318376,0.0789192130178557,0.115909506629789,0.0897988263682077
185.564,185.954,0.0898866630760725,0.0797272319921338,0.0931735296351421,0.0763367578513945,0.0994490743010465,0.0710887849402153,0.110899496017673,0.0929506068114215
186.569,186.957,0.0902471973211878,0.0793451946733051,0.0950528865063632,0.0752519509930839,0.101162598275343,0.068992301155347,0.113331487799994,0.0962642660238207
187.575,187.959,0.0742761658944519,0.064995036543945,0.0789608017901543,0.0608572317774457,0.0842919441605532,0.0552714937225341,0.0946377810550753,0.0997544825956239
188.58,188.962,0.0657740200642141,0.0582966774663084,0.0716003461961458,0.0537112066870593,0.0776228688171317,0.0459150618749168,0.0852480602391984,0.103424114872709
189.586,189.964,0.0791272726397423,0.0699895059634124,0.0829322436430055,0.0661724625401614,0.0881060100774497,0.061683532988035,0.098704181990268,0.107288774193401
190.591,190.967,0.0828659027422732,0.0741153992147046,0.0872360628102836,0.0695370426094222,0.0918364200175428,0.0645482461760509,0.103734683915927,0.111347425856303
191.596,191.969,0.0868419438223094,0.0785907867252065,0.0901094396509485,0.0761575570473769,0.096194694095647,0.070088698698569,0.1052961188522,0.115608679671935
192.602,192.971,0.0967391527910104,0.0848331870954156,0.10173781206521,0.0798315683408859,0.108904459348629,0.0738007036259093,0.124077103953253,0.120080057839897
193.607,193.974,0.128565030783603,0.114074142988629,0.134977197637233,0.107172867112655,0.143117721197762,0.0994788861678811,0.1617200819663,0.124753665233553
194.612,194.976,0.112471465957741,0.0991049617971836,0.119482099744489,0.0913271774766119,0.126756334482472,0.0830209213589941,0.144926927490434,0.129632784917317
195.618,195.979,0.104863246287185,0.0911131963534898,0.112415054750051,0.0855499446431174,0.122163998311519,0.0754941374679554,0.137395015708788,0.134719410044155
196.623,196.981,0.127417820919237,0.110806345170085,0.132249571708625,0.106820545629804,0.143584274250537,0.0966588595897849,0.161687246249851,0.13999812818864
197.629,197.984,0.131620979207529,0.119959679116741,0.140776354564075,0.111884686519903,0.147195582354561,0.103529451277806,0.164058142890786,0.14547199011862
198.634,198.986,0.114639430448185,0.10058207394346,0.121747579669921,0.0955983586419242,0.131486806441875,0.08461581751426,0.145513697282194,0.15112053583961
199.639,199.989,0.151698654056401,0.131507584554637,0.161191328254529,0.124861917873598,0.175595265310407,0.111448427512123,0.1956534547418,0.156937443860828
200.645,200.945,0.192105112943734,0.167659485077098,0.205107721831657,0.158485732048757,0.221886965849994,0.139064976891878,0.245906166819878,0.162915009207816
201.274,201.446,0.131571740664593,0.0997174498595486,0.144123192855994,0.0844148346244881,0.16187517715228,0.0652436325073968,0.203549722495421,0.166724286574486
201.776,201.994,0.191146303154744,0.164742405016536,0.209699631973041,0.147234368333951,0.226295134643008,0.126628072270641,0.264381395116906,0.169800651760362
202.655,202.996,0.214865296438567,0.186731709687873,0.239937000996989,0.165578655755553,0.255396642791292,0.140738976411674,0.290830894994726,0.17525691986728
203.661,203.998,0.244495342729898,0.211974281329877,0.266065586447294,0.1909650001276,0.284813330894125,0.166177647352514,0.327114651131406,0.181594259039106
204.666,205.001,0.256135920857458,0.211381702971676,0.27402122019094,0.200875184905671,0.306852671660378,0.171596644209077,0.347860235422752,0.188002180707174
205.672,206.003,0.251829349131154,0.214303646035637,0.274490211245283,0.196309239762042,0.299111088398775,0.163099592837524,0.338683034724689,0.19446902381633
206.677,207.006,0.209318057357211,0.174204337848573,0.229634850587781,0.156184201259845,0.251128770852886,0.128426749958765,0.291279244092249,0.200956184159625
207.682,208.008,0.217401729846378,0.185978098898597,0.241785619698952,0.16423145571354,0.261131837559547,0.139193888612435,0.29903646949481,0.207443143000207
208.688,209.011,0.256758940088372,0.224009079934237,0.289005732951035,0.19645698477463,0.306805485196203,0.165163992718631,0.354026417089705,0.213908358117121
