"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"50",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,NA,0,NA,NA,NA,NA,1.18,1.82,NA,NA,3,NA,3,NA,0.393333333333333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",58,0,0,0,0,0,0,0.46,0.06,0.36,1.46,1.22,NA,2.34,1.82,0.351666666666667,0.215,0.221516120410666,0.0144405662616655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.208333333333333
"59",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,0,0,0,0,0,0,0.52,0.74,0.66,0.86,2.26,NA,2.78,1.52,0.436666666666667,0.438333333333333,0.389611985327792,0.45013965243115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.395348837209302
"61",61,0,0,0,0,0,0,0,0,0,1.6,0,NA,1.6,1.6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"62",62,0,0,0,0,0,0,0,0,0,1.6,0,NA,1.6,1.6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"63",63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,0,0,0,0,0,0,1.26,0.08,0,1.6,1.56,NA,2.94,1.6,0.429,0.454666666666667,0,0.0373283222755845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142361111111111
"66",66,0,0,0,0.22,0,0.08,0,0,0,1.68,0,NA,1.68,1.68,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"67",67,0,4.74,0,0,0.28,0,3.14,4.1,0.16,1.52,8.48,NA,8.92,1.68,0.360511544011544,0.811466810966811,0.0890972108128345,1.32537310663214,NA,NA,NA,NA,NA,1.51469228472791,NA,0.937,NA,1.51469228472791,NA,0.795138888888889
