genus,binno
Diagoceras,73
Dinocycloceras,65
Dinocycloceras,65
Discoactinoceras,87
Discoactinoceras,87
Dolorthoceras,54
Dolorthoceras,57
Dolorthoceras,59
Dolorthoceras,64
Dolorthoceras,66
Dolorthoceras,67
Dolorthoceras,67
Dolorthoceras,69
Dolorthoceras,74
Elrodoceras,81
Elrodoceras,81
Elrodoceras,82
Elrodoceras,82
Elrodoceras,82
Elrodoceras,82
Elrodoceras,82
Elrodoceras,82
Endorioceras,90
Eosomichelinoceras,86
Eosomichelinoceras,86
Eosomichelinoceras,87
Eosomichelinoceras,87
Ephippiorthoceras,81
Ephippiorthoceras,85
Ephippiorthoceras,85
Ephippiorthoceras,85
Eridites,81
Eridites,81
Eridites,82
Euloxoceras,62
Euloxoceras,62
Euloxoceras,62
Euloxoceras,62
Euloxoceras,62
Euloxoceras,62
Euloxoceras,62
Euloxoceras,62
Euloxoceras,62
Euloxoceras,62
Euloxoceras,62
Euloxoceras,62
Euloxoceras,62
Euloxoceras,62
Euloxoceras,62
Euloxoceras,62
Euloxoceras,62
Euloxoceras,62
Euloxoceras,62
Euloxoceras,62
Euloxoceras,62
Euloxoceras,62
Euloxoceras,65
Euloxoceras,66
Euloxoceras,66
Euloxoceras,74
Eushantungoceras,80
Eushantungoceras,81
Eushantungoceras,81
Euthyocycloceras,77
Euvirgoceras,81
Folioceras,73
Gangshanoceras,87
Gangshanoceras,87
Gangshanoceras,87
Gaspocyrtoceras,81
Gaspocyrtoceras,81
Geidoloceras,74
Geidoloceras,74
Geidoloceras,74
Geidoloceras,74
Geisonoceras,71
Geisonoceras,77
Geisonoceras,77
Geisonoceras,77
Geisonoceras,78
Geisonoceras,81
Geisonoceras,81
Geisonoceras,81
Geisonoceras,81
Geisonoceras,83
Geisonoceras,83
Geisonoceras,83
Geisonoceras,83
Geisonoceras,85
Geisonoceras,85
Geisonoceras,85
Geisonoceras,85
Geisonoceras,87
Geisonoceras,87
Geisonoceras,87
Gonioceras,87
Gonioceras,87
Gonioceras,87
Gonioceras,87
Gonioceras,87
Gonioceras,87
Gonioceras,87
Gonioceras,87
Gorbyoceras,81
Gorbyoceras,85
Gorbyoceras,85
Gorbyoceras,85
Gorbyoceras,86
Gorbyoceras,90
Harrisoceras,81
Harrisoceras,81
Harrisoceras,87
Harrisoceras,87
Hebetorthoceras,63
Hebetorthoceras,64
Hebetorthoceras,64
Hebetorthoceras,64
Hebetorthoceras,64
Hebetorthoceras,64
Hemicosmorthoceras,75
Hemicosmorthoceras,75
Hemicosmorthoceras,75
Hemicosmorthoceras,75
Hemicosmorthoceras,76
Hemicosmorthoceras,76
Hemicosmorthoceras,76
Hemicosmorthoceras,76
Hemicosmorthoceras,77
Hemicosmorthoceras,77
Hemicosmorthoceras,77
Hemicosmorthoceras,77
Hemicosmorthoceras,77
Hemicosmorthoceras,78
Heyuncunoceras,78
Hoeloceras,87
Holmiceras,87
Holmiceras,87
Holmiceras,87
Holmiceras,87
Holmiceras,87
Holmiceras,87
Holmiceras,87
Hopeioceras,87
Hopeioceras,90
Hopeioceras,90
Huronia,81
