"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"64",64,3.2,3.86,1.74,1.18,0.86,0,1.56,1.86,1.78,7.62,8.72,11.2552160368238,12.82,9.4,0.259787296037296,0.266989676989677,0.215334227593799,0.222682650081719,0.634094115514462,0.850268373021393,NA,0.393066592586162,0.415263758312837,0.296343753914675,0.145047619047619,0.141904761904762,0.187609360126532,0.170281919040033,0.606,0.467769841269841
"65",65,3.86,0,0,0,0,1.38,2.22,1.62,3.64,5.84,9.52,NA,13.32,9.48,0.442786796536797,0.28923001998002,0.503843923134756,0.257192017742207,NA,NA,NA,NA,0.975825234048624,NA,0.618952380952381,NA,0.975825234048624,NA,NA,0.357126984126984
"66",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,0,2.12,0,0,1.52,0,2.4,1.42,2.26,5.2,7.24,NA,11.28,7.46,0.417307192807193,0.338947718947719,0.397233025453731,0.262024402780745,NA,NA,NA,NA,NA,0.302795883602528,NA,0.30952380952381,NA,0.380698469221139,NA,0.229825396825397
"68",68,2.12,2.12,0.74,0.24,0,0.28,3.46,1.1,1.7,4.92,8.36,6.40398399697524,11.18,6.62,0.460622211122211,0.41137629037629,0.308958248965926,0.21190931208983,0.710993095053337,0.749432832188595,0.568651708726722,NA,0.576615084145514,0.715624033142861,0.39,0.515,0.4969813299576,0.577796381663779,0.773504273504274,0.453404761904762
"69",69,2.12,2.02,0.66,0.44,0.16,0.34,1.72,1.82,1.28,4.74,6.3,5.12570825400603,9.56,6.02,0.312855033855034,0.370515429015429,0.247682556686099,0.339657498878178,0.695336081710524,0.639536867258135,0.510057133209366,0.473966764161458,0.574079841576142,0.579123511916252,0.341156462585034,0.405666666666667,0.503955652937751,0.441948475836049,0.635658914728682,0.326714285714286
"70",70,2.02,1.58,1.02,0.5,0.34,0.28,2.04,0.8,1.16,5.4,5.66,5.00171210021224,9.4,6.56,0.33819474969475,0.298255078255078,0.205215341173806,0.144190402441659,0.544719892579711,0.283148024006797,0.373301840810312,0.233157681682898,0.381389029909349,0.121368511764882,0.284,0.0833333333333333,0.39185399278464,0.12476649250079,0.67687074829932,0.325912698412698
"71",71,1.58,1.74,0.98,0.32,0.54,0.34,0.68,0.84,0.46,5.74,3.88,3.37294409914468,7.72,6.2,0.140111721611722,0.194120879120879,0.0683721197856154,0.135138502009117,0.310054032229068,0.421379597874625,0.0967800252726973,0.22943097412193,0.125995634773509,0.101751926704648,0.112333333333333,0.125,0.128399370195068,0.171066644760642,0.778985507246377,0.347190476190476
"72",72,1.74,1.9,1.26,0.48,0.3,0.44,0.88,1.44,0.28,6.3,4.64,4.3253030118793,8.9,6.58,0.124783272283272,0.245974830724831,0.0508998164115238,0.206988340891257,0.293981424730611,0.365630052252444,-0.224576715927776,0.157599791488922,0.017509374747078,0.144405647828621,0.0416666666666667,0.0986666666666667,0.0682723980332142,0.132898364930549,0.756666666666667,0.341940115440115
"73",73,1.9,2.36,0.98,1,0.48,0.46,0.54,1.28,0.8,6.94,4.6,5.72664804453072,9.56,7.74,0.145361693861694,0.191106726606727,0.11960083054885,0.183429479634315,0.450175380949058,0.714844055549279,0.280416514442466,0.468957637014408,0.180240837213182,0.318941362015662,0.117333333333333,0.138333333333333,0.150159289277656,0.179021155480922,0.5,0.292028138528139
"74",74,2.36,4.36,1.56,0.58,0.66,0.32,1.32,3.08,1.04,7.18,8.32,7.39523810396093,12.62,8.22,0.185216714657891,0.349046032398974,0.14436024485793,0.380133950624866,0.353419797230658,0.940862033910309,0.0335381345966949,0.342458476933387,0.187036798684998,0.629334565153216,0.123,0.366619047619048,0.165064552911635,0.525723878535383,0.715,0.4109329004329
"75",75,4.36,3.86,2.4,0.98,0.38,0.66,2.58,1.5,1.74,8.52,10.02,9.88909129785482,14.34,10.26,0.298883636659178,0.281298530588778,0.185653569330374,0.16290496007303,0.621850625318678,0.49309102037285,0.252714229507313,0.213731466657816,0.291125575481781,0.254280592548732,0.17647619047619,0.118119047619048,0.225138561775699,0.144663242130792,0.717333333333333,0.511862803862804
"76",76,3.86,3.56,2.3,0.96,0.74,0.74,0.6,1.28,1.06,8.96,7.12,7.09569004357022,11.9,10.02,0.136111305361305,0.158608030858031,0.111218529245418,0.137091255874669,0.561363418406064,0.481921274881737,0.318424809731489,0.11982929094216,0.181789201938104,0.124642602924207,0.0968571428571428,0.0698571428571429,0.126834328293251,0.0821399135955132,0.719666666666667,0.482244588744589
"77",77,3.56,3.24,2.16,0.62,0.76,1.1,1,1.06,0.7,9.54,7.08,6.23018054516904,12.3,10.24,0.133687173937174,0.164164224664225,0.0686435755459578,0.108084904595531,0.505902263768302,0.414553424100691,0.0838841125866376,0.0520294932841953,0.0853785309384376,0.0845846613156285,0.0963333333333333,0.086,0.125902471481658,0.106534336821395,0.796666666666667,0.461798035298035
"78",78,3.24,3.18,2.1,0.96,0.84,0.96,0.46,0.92,0.3,10.3,5.8,6.1804896851704,11.98,10.6,0.0615771614006908,0.110683793330852,0.029157760286138,0.085764853750971,0.469823432225636,0.448099636852245,0.0563942018275502,0.182832598900822,0.0503552094931816,0.0544140263731154,0.0693333333333333,0.0795714285714286,0.0846511780550201,0.0989265074102737,0.685666666666667,0.406312076812077
"79",79,3.18,3.1,2,1,0.88,0.76,0.16,0.6,0.24,10.98,5.66,5.78546605628406,11.98,11.22,0.0315785129902777,0.0620009598244892,0.0212078215169582,0.0549069036296918,0.471678081540105,0.463748496787791,0.033830291259028,0.0558260568037606,0.118791542870479,0.0746831159796714,0.0720952380952381,0.061,0.0972936276294635,0.0817275278514585,0.677,0.431013542013542
