"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"85",85,14.32,7.92,3.16,2.24,0.08,3.82,24.58,5.78,20.42,19.28,58.94,62.4879012890715,70.06,39.7,0.64202445309687,0.433311668601141,0.72609195184021,0.264226309416303,1.55192524528433,0.964205577377627,-0.10109717112544,0.517512701179638,0.60160518684103,0.65922568733417,0.42462025324177,0.307136419136419,0.575696416207731,0.404968967884209,0.571849206349206,0.424618147353711
"86",86,7.92,2.76,1.26,6.02,2.8,0,4.66,0.6,9.2,15.86,16.62,49.3893390946718,30.32,25.06,0.454346013866911,0.171201105102469,0.458830511781012,0.0375514210810828,1.65192859425832,0.643615290018558,NA,0.0832312844557734,0.665945718465909,-0.149961135577292,0.0800141206402816,-0.180662337662338,0.0894703569874651,-0.157419973905344,0.164096681096681,0.135329096685908
"87",87,2.76,0,0,0,0,0,18.02,0,16.22,0.24,34.24,NA,34.48,16.46,0.993156784930741,0.520735875207336,2.77369683364927,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
"88",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",91,0,0,0,0,0,0,0,0,0,0.24,0,NA,0.24,0.24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"92",92,0,0,0,0,0,0,0,0,0,0.24,0,NA,0.24,0.24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"93",93,0,0,0,0,0,0,0,0,0,0.24,0,NA,0.24,0.24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"94",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",96,0,0,0,0,0,0,0,0,0,0.24,0,NA,0.24,0.24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"97",97,0,31.82,0,0,0,0,52.9,32.5,0.12,0.12,85.56,NA,85.64,0.24,0.617934035926786,0.997212574705261,0,3.46471505333089,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.333333333333333
"98",98,31.82,8.1,6.36,0.72,0,NA,29.94,1.72,25.46,7.16,63.5,40.5591287797836,64.28,32.62,0.861341657854804,0.491197963495965,1.54100420063312,0.219834387763977,1.64002154022187,0.249198633348184,NA,NA,NA,0.225521512473621,NA,0.131011266511267,NA,0.15206265017731,0.899506493506493,0.892204906204906
"99",99,8.1,NA,NA,NA,NA,NA,1.52,NA,8.88,NA,10.4,NA,10.4,8.88,1,0.145097513597514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
