"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"83",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",87,0,0,0,0,0,0,14.28,0,2.08,0.72,16.36,NA,17.08,2.8,0.958256130522384,0.833875734344775,1.09621174115612,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"88",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",91,0,0,0,0,0,0,0,0,0,0.72,0,NA,0.72,0.72,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"92",92,0,0,0,0,0,0,0,0,0,0.72,0,NA,0.72,0.72,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"93",93,0,0,0,0,0,0,0,0,0,0.72,0,NA,0.72,0.72,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"94",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",95,0,0,0,0,0,0,7.74,3.56,0.18,0.54,11.76,NA,12.02,0.72,0.653962081777871,0.93883614630983,0.0533190138892266,1.51956837218527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.519230769230769
"96",96,0,0,0,3.16,0,0.68,0,0,0,4.1,0,NA,4.1,4.1,0,0,0,0,NA,NA,NA,NA,-0.210070059208799,0,-0.196938775510204,0,-0.159357678600881,0,0,0
"97",97,0,30.12,0,0,1.48,0,46.26,29.78,2.46,1.64,79.36,NA,80.14,4.1,0.606918969896027,0.948988601503042,0.868497770396358,2.91839432914108,NA,NA,NA,NA,NA,2.93902515766365,NA,0.95108336184555,NA,2.93902515766365,NA,0.513888888888889
"98",98,30.12,8,6.34,0.52,0,NA,29.02,1.62,24.46,6.96,61.48,34.3135822854547,62.06,31.42,0.86117341221668,0.493117813654774,1.523669545564,0.216415604716912,1.57876076468113,0.240513321555425,NA,NA,NA,0.225416195106576,NA,0.144276334776335,NA,0.173180467737109,0.927349206349206,0.920166666666667
"99",99,8,NA,NA,NA,NA,NA,1.58,NA,8.58,NA,10.16,NA,10.16,8.58,1,0.152862914862915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
