"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"46",46,0.86,2.24,0.4,0.34,0.06,0.08,0.76,2.16,0.56,1.14,4.04,2.95074237698727,4.62,1.7,0.294333333333333,0.614333333333333,0.388162421113569,1.02778429794469,0.308065413582198,0.780355204520703,0.180015929099504,0.4969813299576,0.244640181374098,0.813880855738712,0.348837209302326,0.568,0.244640181374098,0.553060959083407,0.515625,0.47
"47",47,2.24,4.32,1.38,0.38,0.38,0,6.54,3.14,0.9,2.4,12.38,9.99937840021791,12.98,3.3,0.569314491064491,0.744126461773521,0.346121830015222,0.885459389457337,0.415913386411074,1.1065034822202,0.181538547289509,1.05425162589323,0.375708767964904,0.804860602905479,0.259666666666667,0.459714285714286,0.296089109057824,0.700213565111837,0.815602836879433,0.779
"48",48,4.32,2.64,1.36,0.44,0.12,0.2,5.26,1.84,2.82,2.72,11.92,10.280727843888,12.64,5.54,0.639834632687574,0.559787116478293,0.772177609587022,0.575390297361347,1.13318130034231,0.616081565534057,0.836827882348347,0.45276683287973,0.8991348185484,0.498364997207235,0.484261904761905,0.289666666666667,0.760817477256008,0.403064819510793,0.814236111111111,0.789
"49",49,2.64,1.98,1.42,0.54,0.06,0.46,2.48,0.78,1.44,3.12,6.34,5.7766905401882,7.82,4.56,0.503012265512266,0.416223665223665,0.413155735695185,0.251640195314737,0.621630836262795,0.317356552615284,0.459202786976685,0.0909928961492778,0.29488447619674,0.245092684242892,0.193333333333333,0.141666666666667,0.2744514512461,0.195394551247132,0.778333333333333,0.59
"50",50,1.98,0.8,0.36,0.32,0.5,0.62,2.98,0.34,1.46,2.44,5.94,4.74309497837922,7.22,3.9,0.614347041847042,0.456537518037518,0.496826538515717,0.141801536715522,0.529675638391324,0.269557236884423,0.458558557106726,-0.0225258393393425,0.53949089136269,0.108304246962491,0.35,0.189814814814815,0.471913373344662,0.12996509635499,0.553571428571429,0.533333333333333
"51",51,0.8,0.34,0.32,0.64,0.02,0,0.84,0,1.22,1.56,2.4,1.64006058669988,3.62,2.78,0.568666666666667,0.238666666666667,0.574179470043383,0,0.259930192709979,0,0.173286795139986,-0.216608493924983,0.314152894490071,0,0.142857142857143,0.0204081632653061,0.184187798135081,0,0.333333333333333,0.236666666666667
"52",52,0.34,0.24,0.08,0,0.16,0.2,0,0,0,1.56,1,0.690739468864469,1.56,1.56,0,0,0,0,0,0,0,0,0,0,0.176470588235294,0,0,0,1,0.733333333333333
"53",53,0.24,1.14,0.2,0.68,0,0.1,1.36,5.18,0,1.56,6.78,5.12775727388134,8.1,1.56,0.158217893217893,0.808300144300144,0,1.52474991305362,0,0.566296048013595,-0.841389220557821,0.231049060186648,0,0.527891046941985,0,0.291666666666667,0,0.291590871751095,0.227272727272727,0.156666666666667
"54",54,1.14,1.26,0.62,1.82,0.48,0.9,0.68,0.76,0.04,6.7,3.26,5.26265168127388,8.18,6.74,0.0860670995670996,0.169031024531025,0.00616602719309033,0.10262197978564,0.254244306427836,0.325914685196958,0.0385081766977747,0.199084385469784,-0.129462962055048,0.0520312234412917,-0.0428571428571429,-0.00666666666666667,-0.0250548843049643,-1.10970260758236e-18,0.236394557823129,0.264309523809524
"55",55,1.26,3.96,0.7,0.52,2,0.18,0.74,2.36,0.18,7.28,6.24,5.22026128987443,10.56,7.46,0.0818016705516705,0.289408702408702,0.0250552593699074,0.282730066596083,0.316790082890078,1.22530594684255,0.0707237964772014,0.302472215373673,0.195855709616282,0.346535028063773,0.24645390070922,0.243333333333333,0.195855709616282,0.324811232690382,0.591666666666667,0.413563492063492
