"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","81","83","85","87","94","98","99","100"
"1",34,40,34,41,NA,NA,72,43,41,52,24,77,67,64,35,86,49,35,55,44,27,16,44,62,37,NA,33,23,44,43,22,29,29,25,43,29,16,10,17,30,16,18,23,NA,3,32,41,36,36,24,7,12,27,45,41,32,30,40,26,24,10,29,15,30,24,30,23,30,16,8,14,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"2",34,41,35,42,NA,NA,69,44,44,52,24,77,68,59,37,89,50,42,58,42,26,14,37,62,38,NA,34,24,43,51,23,35,25,27,42,37,16,12,15,34,11,15,20,NA,3,36,42,34,37,21,8,13,27,43,36,42,30,31,28,26,9,37,15,36,24,30,25,30,15,10,13,NA,13,NA,NA,NA,NA,NA,1,NA,NA,1,1
"3",33,45,35,43,NA,NA,65,42,44,52,26,76,66,63,35,80,50,37,64,48,27,11,39,66,40,NA,30,26,48,45,27,31,26,24,41,32,18,12,17,33,17,16,21,NA,5,35,40,37,31,21,9,18,32,40,43,30,28,32,27,24,9,32,16,33,26,29,24,30,15,10,14,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"4",33,51,35,42,NA,NA,76,44,46,54,24,76,67,62,36,87,46,36,58,51,31,13,33,64,38,NA,33,21,45,45,23,34,32,29,40,26,18,10,18,34,13,17,24,NA,3,38,41,41,33,24,7,14,31,40,34,32,33,34,28,23,13,30,16,33,22,29,25,30,16,10,13,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"5",31,41,34,41,NA,NA,68,44,47,55,25,75,66,62,39,84,47,40,55,51,28,16,36,63,33,NA,32,26,48,47,23,36,24,29,42,32,14,7,15,32,13,17,21,NA,5,36,37,42,36,23,8,14,26,40,38,26,35,38,29,25,12,33,14,28,21,30,24,30,16,8,14,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"6",33,42,34,42,NA,NA,71,43,43,56,26,72,66,62,37,87,47,40,61,44,25,17,30,66,38,NA,31,24,49,46,25,32,28,24,43,31,22,11,14,36,15,15,26,NA,5,36,37,39,35,25,8,20,31,42,33,32,31,33,26,26,10,32,16,27,24,29,24,30,17,9,14,NA,11,NA,NA,NA,NA,NA,1,NA,NA,1,1
"7",34,40,35,45,NA,NA,63,44,44,52,25,77,67,65,37,87,47,32,58,43,28,17,33,65,43,NA,31,20,43,44,22,34,28,35,42,35,15,11,15,32,15,16,25,NA,4,39,40,36,32,22,6,13,25,49,39,34,38,39,30,25,13,33,14,34,23,30,22,30,15,10,14,NA,11,NA,NA,NA,NA,NA,1,NA,NA,1,1
"8",33,47,34,42,NA,NA,71,44,42,55,24,77,68,62,42,79,48,40,63,42,26,15,40,65,39,NA,36,25,46,46,24,32,33,25,42,35,16,10,18,31,14,15,23,NA,5,34,39,38,30,19,9,14,28,37,26,32,33,38,27,22,8,36,18,33,29,31,21,30,17,10,14,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"9",30,45,34,41,NA,NA,69,43,41,56,26,71,66,60,34,83,49,32,65,44,30,19,39,63,40,NA,31,23,51,43,24,31,29,28,46,32,17,9,17,31,16,20,24,NA,5,32,42,40,34,25,7,16,28,45,39,34,36,34,33,24,10,31,14,30,25,29,22,30,15,10,14,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"10",34,44,35,41,NA,NA,67,46,45,54,27,76,66,56,38,82,48,40,56,41,27,13,34,62,36,NA,32,20,54,43,24,31,24,26,42,33,18,8,16,36,14,17,24,NA,5,32,36,39,38,21,9,15,32,40,30,27,39,37,28,25,10,33,18,26,23,30,21,30,16,9,13,NA,11,NA,NA,NA,NA,NA,1,NA,NA,1,1
"11",31,48,34,45,NA,NA,67,43,49,54,25,73,67,58,34,84,48,43,61,50,28,19,40,64,38,NA,32,25,48,45,22,30,25,32,42,36,17,11,18,36,13,19,20,NA,5,32,40,36,32,22,12,14,21,39,35,28,32,39,28,25,8,32,13,33,23,29,20,30,17,8,15,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
