"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"70",70,0.9,1.42,0.42,0.26,0.14,0.26,11.98,3.4,0.34,2.16,16.78,10.5870616461783,17.88,2.5,0.689386186053369,0.860017433289105,0.130520133949826,0.99237896980409,0.217349913879421,0.495105128971389,-0.741259430127242,0.693147180559945,0.173365580217767,0.442844032024409,0.155555555555556,0.368518518518519,0.173365580217767,0.319328333251869,0.617647058823529,0.55
"71",71,1.42,4.7,0.94,2.34,0.36,0.86,2.44,4.52,0.18,5.38,8.82,15.4034413564713,12.52,5.56,0.208886556254203,0.550397968045027,0.033638892064417,0.609844287783222,0.224576715927776,1.27800919955883,-0.139934948247842,1.06347103484337,-0.0962784498253792,0.671678307192145,-0.054,0.226463924963925,-0.0446989866488379,0.301319255254006,0.298333333333333,0.327809523809524
"72",72,4.7,23.42,3.06,1.36,2.02,0.38,24.64,24.96,2.18,7.72,57.26,55.3904107664071,59.5,9.9,0.450068452182327,0.83331407943859,0.251454616973501,1.46504607129129,0.449838266835452,2.12819868518765,-0.00147105350687696,1.10930652384398,0.236175273788028,1.36644941483177,0.0948333333333333,0.709332303979633,0.119433568393514,1.27156759234491,0.695761904761905,0.710466810966811
"73",73,23.42,17.44,7.46,4.08,0.36,2.66,35.28,15.18,13.02,19.66,75.78,74.3655269936382,83.14,32.68,0.580885974260566,0.606820989580951,0.51386694349915,0.5777949958321,1.17361978403258,0.874935341052358,0.688889910049965,0.468890533968351,0.67231686223481,0.605714597067715,0.39618228080857,0.276910014922179,0.520149847524709,0.341756005864285,0.649307960013842,0.629517981005698
"74",74,17.44,13.66,7.68,4.64,1.78,3.04,18.14,6.76,8.96,25.88,46.6,46.9542288120155,59.74,34.84,0.452740190236805,0.416858956355306,0.300988647241215,0.235674209735253,0.837954243532638,0.595466436368829,0.473763487590981,0.1441571160265,0.365906009194625,0.266701745434085,0.202714177251733,0.126658665088669,0.236351569358584,0.142075787184465,0.627506622462505,0.492311692813262
"75",75,13.66,10.4,4.88,2.14,2.42,2.3,7.16,7.42,8.36,24.28,34.1,30.46949312679,47.22,32.64,0.328159507971036,0.308843751733132,0.295439635670397,0.268179686645864,1.05816674202561,0.782576754902185,0.558445026737697,0.297846880919573,0.541364296931499,0.290353721569421,0.37882303583929,0.233654378301437,0.492344134173529,0.277079608461585,0.706273448773449,0.461345873400296
"76",76,10.4,12.5,6.62,4.1,2.06,1.9,2.34,7,2.02,29.68,24.16,24.7116471960836,41.04,31.7,0.105793909003301,0.226616556647739,0.0659757175298635,0.211691528375344,0.471852733734356,0.659546423058678,0.109452914226904,0.29535566711702,0.143151308166545,0.264209050483915,0.0578091353091353,0.126210057228633,0.0639310644137595,0.141560587717722,0.61797335997336,0.432824205312174
"77",77,12.5,15.38,7.48,3.14,2.56,3.82,5.9,10,4.3,32.38,34.54,30.6206294715231,52.58,36.68,0.193510751493058,0.301916658084402,0.124701657447092,0.269624323406093,0.533972634569682,0.740560760672993,0.0939436312940157,0.240839045385085,0.0794476107421919,0.343651444952362,0.0726311612364244,0.21335072418122,0.0798516648885423,0.249029622188708,0.702559385059385,0.442783148496865
"78",78,15.38,16.9,9.02,4.88,3.68,2.4,4.2,10.7,3.7,38.68,35.56,34.3364072681095,57.28,42.38,0.13737587432825,0.259460378478923,0.0916152440846873,0.244698627355118,0.537561817883528,0.634740802598181,0.159227695802123,0.272340983090729,0.2174921122081,0.215105366073279,0.0960402814270428,0.129681987377424,0.104809681915671,0.145515492478797,0.654615311159429,0.438751987099884
"79",79,16.9,19.44,11.08,5.04,2.8,3.94,5.52,9.38,4.72,44.66,40.32,36.2685235981832,64.28,49.38,0.159235517115105,0.231622034331511,0.101328864389575,0.191157727269526,0.426392404704712,0.566628463127216,-0.0501127276229039,0.126599459851549,0.0914456940147306,0.257856334501637,0.045392742980386,0.125150136086883,0.0506318840464982,0.139884941937743,0.691405761764895,0.465034727462167
"80",80,19.44,11.06,7.52,4.4,3.76,6.3,4.66,3.08,10.38,43.66,35.84,35.9249761516302,61.78,54.04,0.243557633258654,0.125072781530771,0.21516520129655,0.0691389372487426,0.978149084095209,0.399007929979316,0.364146988756084,0.0206738078979098,0.271194953317697,-0.0135201857056659,0.209185479767255,-0.0255062727090591,0.24176580709042,-0.0214597699402656,0.632110445110445,0.406716220627635
"81",81,11.06,18.68,6.64,5.28,4.96,1.9,13.52,9.7,6.78,39.96,44.62,52.3171613864057,69.96,46.74,0.2898920936016,0.332027853907992,0.157970937956478,0.218706154476726,0.529582120275353,1.07039378444245,0.287651632967011,0.593888652114833,0.171154050653864,0.354859463827465,0.045755772005772,0.281903135705984,0.0544060726730297,0.337559944764308,0.560506993006993,0.366730530335207
"82",82,18.68,12.86,8.74,2.4,2.46,2.88,6.76,2.92,13.64,36.02,41.64,32.7576226659795,59.34,49.66,0.34352007153214,0.162631827071988,0.322767028910732,0.0783898520743564,0.771885494748481,0.395205240582385,0.131523589576316,-0.218796854756741,0.41592412994374,0.124103414647023,0.294971200275871,0.0738650127821954,0.357620142013399,0.0827903255526339,0.792175435675436,0.510191228213924
"83",83,12.86,8.58,4.6,3.68,2.2,3.6,2.72,2.2,9.06,29.88,23.56,29.4953335760201,43.86,38.94,0.268230768222023,0.112661138208834,0.266243128962365,0.0722930619745143,1.08851013960767,0.668259796900851,0.572551825587355,0.42632930959251,0.339283121302924,0.160021345316696,0.234115937468105,0.0776217671217671,0.27776693300911,0.0864934927334312,0.554348484848485,0.32137564864436
"84",84,8.58,21.46,3.5,2.08,3.54,2.46,9.12,18.84,7.46,24.62,46.28,50.6914839612868,60.04,32.08,0.27649454600092,0.465978778676621,0.268666912243722,0.572594691220479,0.952186169068962,1.88403255020942,0.497027579997059,1.24367064503726,0.296201631518556,0.964067625344798,0.167592241092241,0.608168746005601,0.19725766534051,0.955839790809242,0.630380952380952,0.443529639943563
