"","1","2","3","4","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","89","90"
"1",1,NA,NA,NA,NA,1,1,1,2,1,1,1,1,1,2,2,4,4,1,2,1,1,3,3,2,3,1,3,2,1,3,2,2,1,1,3,3,4,4,1,1,1,1,NA,10,9,9,12,2,2,17,15,NA,12,23,16,24,NA,NA,7,8,9,12,15,NA,3,3,NA,2,NA,NA,20,19,12,10,NA,NA,12,26,13,3,NA,20,5,28,NA,NA
"2",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,3,4,4,2,3,1,2,3,3,2,4,1,2,3,2,3,2,2,1,1,5,4,4,2,1,1,1,1,NA,10,12,8,12,7,2,17,14,NA,12,23,22,26,NA,NA,6,7,10,12,16,NA,3,3,NA,2,NA,NA,20,19,12,9,NA,NA,12,27,13,3,NA,19,6,28,NA,NA
"3",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,3,3,4,4,1,2,1,2,3,3,2,3,1,2,2,1,3,2,2,1,1,2,3,5,2,2,1,1,1,NA,11,9,7,12,2,2,15,16,NA,12,23,16,25,NA,NA,5,8,11,12,16,NA,4,3,NA,2,NA,NA,21,20,13,10,NA,NA,12,26,13,3,NA,21,4,25,NA,NA
"4",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,2,3,5,1,2,1,2,4,3,2,3,1,2,2,2,3,2,2,1,2,2,3,3,3,1,1,1,1,NA,10,9,7,8,3,2,17,18,NA,12,23,18,24,NA,NA,6,8,10,12,16,NA,3,3,NA,2,NA,NA,20,19,13,12,NA,NA,12,25,13,3,NA,18,5,26,NA,NA
"5",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,3,3,3,5,1,2,1,2,3,3,2,4,1,2,2,2,3,3,2,1,1,2,3,4,2,1,1,1,1,NA,9,12,7,11,4,2,15,16,NA,12,23,19,26,NA,NA,8,8,11,11,15,NA,3,3,NA,1,NA,NA,20,19,13,12,NA,NA,12,27,13,3,NA,23,6,28,NA,NA
"6",1,NA,NA,NA,NA,1,1,1,2,1,1,1,1,1,2,4,3,5,3,2,1,2,4,3,2,4,1,2,2,2,3,2,3,1,1,3,3,4,2,2,1,1,1,NA,10,12,9,9,3,2,19,16,NA,12,23,18,24,NA,NA,6,7,10,13,16,NA,3,3,NA,1,NA,NA,21,19,15,11,NA,NA,12,26,13,3,NA,20,5,31,NA,NA
"7",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,4,3,3,4,2,3,1,2,5,3,2,3,1,2,2,1,3,3,2,1,1,2,4,4,2,1,1,1,1,NA,10,11,7,9,3,2,15,15,NA,12,23,17,24,NA,NA,6,7,11,14,15,NA,3,3,NA,1,NA,NA,21,19,13,9,NA,NA,12,27,13,3,NA,18,5,28,NA,NA
"8",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,2,4,4,1,2,1,2,3,3,2,4,1,3,2,2,3,2,3,2,1,2,4,5,2,1,1,1,1,NA,12,11,8,11,2,2,17,18,NA,12,24,15,26,NA,NA,6,7,9,11,15,NA,3,3,NA,1,NA,NA,21,21,12,10,NA,NA,12,28,13,3,NA,21,6,28,NA,NA
"9",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,3,4,4,2,2,1,2,4,4,3,5,1,2,3,1,3,2,2,1,1,4,3,5,2,1,1,1,1,NA,9,13,10,11,4,2,14,14,NA,12,23,18,27,NA,NA,7,7,11,13,16,NA,3,3,NA,2,NA,NA,22,19,12,11,NA,NA,12,26,13,3,NA,19,5,27,NA,NA
"10",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,2,4,4,2,2,1,2,3,4,2,3,1,2,2,3,3,2,2,2,1,2,3,5,2,1,1,1,1,NA,11,14,7,11,7,2,18,18,NA,12,23,17,25,NA,NA,7,7,9,12,15,NA,3,3,NA,3,NA,NA,19,19,12,12,NA,NA,12,26,13,3,NA,19,5,24,NA,NA
"11",1,NA,NA,NA,NA,1,1,1,2,1,1,1,1,1,2,2,3,4,2,2,1,2,4,4,2,4,1,2,2,2,3,2,2,1,1,2,4,3,2,3,1,1,1,NA,12,13,7,10,2,2,19,18,NA,12,23,17,27,NA,NA,8,7,12,14,15,NA,3,3,NA,1,NA,NA,20,19,14,12,NA,NA,12,26,13,3,NA,19,5,28,NA,NA
"12",1,NA,NA,NA,NA,1,1,2,1,1,1,1,1,1,3,2,4,4,1,2,2,2,4,3,3,3,1,3,2,2,3,2,2,1,1,2,3,4,2,1,1,1,1,NA,11,11,9,10,3,2,18,16,NA,12,23,19,24,NA,NA,8,7,11,12,15,NA,4,3,NA,2,NA,NA,21,20,11,10,NA,NA,12,28,13,3,NA,21,6,28,NA,NA
"13",1,NA,NA,NA,NA,1,1,1,2,1,1,1,1,1,2,3,5,5,1,2,1,1,3,4,2,3,1,3,2,1,3,2,2,1,1,4,3,4,2,1,1,1,1,NA,10,11,10,10,4,2,16,14,NA,12,23,17,26,NA,NA,6,7,16,15,16,NA,4,3,NA,2,NA,NA,19,19,11,9,NA,NA,12,25,13,3,NA,22,5,25,NA,NA
"14",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,5,4,5,3,2,1,1,4,3,2,4,1,4,3,2,3,2,3,1,1,2,3,4,2,2,1,1,1,NA,10,12,8,9,3,2,15,12,NA,12,23,18,26,NA,NA,9,9,10,12,15,NA,3,3,NA,1,NA,NA,19,20,11,10,NA,NA,12,25,13,3,NA,18,7,27,NA,NA
"15",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,3,4,4,4,1,2,1,1,4,4,2,4,1,4,2,1,3,2,3,1,1,2,3,3,2,1,1,1,1,NA,13,10,8,10,2,3,19,15,NA,12,23,19,28,NA,NA,6,7,10,12,16,NA,3,3,NA,3,NA,NA,20,19,13,10,NA,NA,12,28,13,3,NA,19,5,29,NA,NA
"16",1,NA,NA,NA,NA,1,1,2,1,1,1,1,2,1,2,4,4,4,1,2,1,2,3,3,2,5,1,2,2,2,3,2,3,1,2,2,3,4,2,2,1,2,1,NA,9,13,10,11,4,2,17,18,NA,12,23,18,25,NA,NA,8,7,9,13,15,NA,3,3,NA,2,NA,NA,21,19,11,12,NA,NA,12,25,13,3,NA,19,6,27,NA,NA
"17",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,2,5,3,3,2,1,1,3,3,2,6,1,3,4,2,3,2,2,1,1,2,3,4,2,1,1,1,1,NA,11,11,7,10,3,2,17,15,NA,12,23,19,29,NA,NA,8,8,11,16,15,NA,3,3,NA,1,NA,NA,21,19,12,12,NA,NA,12,28,13,3,NA,19,5,30,NA,NA
"18",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,4,3,4,1,2,1,1,3,3,2,4,1,3,2,2,3,2,2,2,1,2,3,4,3,1,1,1,1,NA,9,11,9,10,3,2,16,16,NA,12,23,22,24,NA,NA,6,7,10,13,15,NA,3,3,NA,1,NA,NA,18,19,12,13,NA,NA,12,26,13,3,NA,18,5,29,NA,NA
"19",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,4,4,4,1,2,1,1,5,4,2,3,1,3,2,2,3,2,3,3,1,3,3,5,2,3,1,1,1,NA,12,11,7,11,3,2,18,20,NA,12,23,18,28,NA,NA,6,8,12,13,15,NA,4,3,NA,2,NA,NA,20,20,11,10,NA,NA,12,26,13,3,NA,19,4,26,NA,NA
"20",1,NA,NA,NA,NA,1,1,1,2,1,1,1,1,1,2,2,5,5,2,2,1,1,3,4,3,4,1,2,3,2,3,3,2,3,2,2,4,4,2,2,1,2,1,NA,10,10,6,12,2,3,16,16,NA,12,24,20,24,NA,NA,6,8,12,12,15,NA,3,3,NA,2,NA,NA,19,19,12,11,NA,NA,12,25,13,3,NA,19,4,26,NA,NA
"21",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,2,3,6,1,3,1,2,4,3,3,5,1,3,3,2,3,2,2,2,2,4,4,3,2,1,1,1,1,NA,13,8,6,9,3,2,18,14,NA,12,24,16,26,NA,NA,8,8,10,13,16,NA,3,3,NA,1,NA,NA,21,19,11,12,NA,NA,12,28,13,3,NA,20,4,26,NA,NA
"22",1,NA,NA,NA,NA,1,1,1,2,1,1,1,1,1,2,4,4,4,1,2,1,1,4,3,2,4,1,2,2,1,3,2,2,1,2,2,3,4,2,1,1,1,1,NA,9,10,7,9,4,3,17,20,NA,12,23,21,27,NA,NA,8,7,9,11,15,NA,3,3,NA,3,NA,NA,21,19,11,10,NA,NA,12,26,13,3,NA,20,5,25,NA,NA
"23",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,2,4,5,2,2,1,1,3,3,4,3,1,2,2,2,3,2,2,2,1,4,3,6,2,1,1,1,1,NA,10,11,8,12,3,2,18,18,NA,12,23,16,24,NA,NA,7,9,10,13,15,NA,3,3,NA,2,NA,NA,21,20,12,10,NA,NA,12,27,13,3,NA,18,4,26,NA,NA
"24",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,2,4,5,1,2,1,2,3,4,2,4,1,2,3,1,3,2,3,1,1,2,3,5,2,2,1,1,1,NA,9,9,7,12,4,4,15,15,NA,12,23,17,27,NA,NA,7,8,9,12,16,NA,3,3,NA,1,NA,NA,19,20,13,11,NA,NA,12,25,13,3,NA,21,6,29,NA,NA
"25",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,3,3,4,1,2,2,2,3,3,3,5,1,4,2,2,3,2,2,1,1,2,3,5,2,1,1,1,1,NA,10,11,8,9,3,2,16,19,NA,12,23,19,26,NA,NA,7,6,9,13,15,NA,4,3,NA,2,NA,NA,18,20,15,10,NA,NA,12,25,13,3,NA,21,6,25,NA,NA
"26",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,4,3,4,4,2,2,1,1,4,3,2,5,1,2,2,1,3,2,2,1,1,4,3,4,2,1,1,1,1,NA,8,11,7,9,3,3,18,19,NA,12,23,18,25,NA,NA,5,8,12,14,15,NA,3,3,NA,1,NA,NA,23,20,12,10,NA,NA,12,27,13,3,NA,20,6,27,NA,NA
"27",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,3,2,4,4,1,2,1,1,4,3,2,3,1,3,3,2,3,2,2,1,1,2,3,3,3,2,1,1,1,NA,10,10,8,11,3,2,14,15,NA,12,23,18,24,NA,NA,10,6,10,14,16,NA,3,3,NA,1,NA,NA,23,19,12,11,NA,NA,12,27,13,3,NA,20,6,29,NA,NA
"28",1,NA,NA,NA,NA,1,1,1,2,1,1,1,1,1,2,2,4,4,2,2,1,2,3,3,2,3,1,2,3,2,3,2,2,2,1,2,3,5,2,1,1,1,1,NA,10,9,7,9,5,2,19,15,NA,12,23,17,27,NA,NA,10,8,12,12,15,NA,3,3,NA,2,NA,NA,21,19,12,12,NA,NA,12,27,13,3,NA,18,5,28,NA,NA
"29",1,NA,NA,NA,NA,1,1,1,2,1,1,1,1,1,2,2,3,4,3,2,1,3,3,4,2,3,1,2,3,1,3,2,2,1,1,3,3,4,2,1,1,1,1,NA,12,9,8,9,4,4,18,16,NA,13,24,19,27,NA,NA,6,8,9,11,16,NA,3,3,NA,2,NA,NA,21,20,12,11,NA,NA,12,26,13,3,NA,19,4,26,NA,NA
"30",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,3,4,5,4,1,3,1,1,3,3,2,4,1,2,2,2,3,2,2,1,1,2,3,4,2,1,1,1,1,NA,9,11,7,11,2,3,15,18,NA,12,23,17,27,NA,NA,6,9,10,15,15,NA,3,3,NA,1,NA,NA,23,19,13,10,NA,NA,12,27,13,3,NA,25,5,28,NA,NA
"31",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,3,3,4,1,2,1,2,3,3,2,5,1,3,2,2,3,2,2,3,2,2,3,4,2,1,1,1,1,NA,11,10,7,10,2,2,15,15,NA,12,23,19,26,NA,NA,5,9,13,13,15,NA,3,3,NA,2,NA,NA,20,19,12,9,NA,NA,12,26,13,3,NA,19,5,30,NA,NA
"32",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,2,4,5,1,2,1,1,3,3,2,3,1,2,2,2,3,2,2,1,1,2,3,3,2,3,1,1,1,NA,11,10,10,8,3,2,13,12,NA,12,23,18,28,NA,NA,8,7,10,14,15,NA,3,3,NA,2,NA,NA,22,19,13,13,NA,NA,12,24,13,3,NA,19,5,26,NA,NA
"33",1,NA,NA,NA,NA,1,1,2,2,1,1,1,1,1,2,3,3,4,2,2,1,1,4,3,2,5,1,2,2,2,3,2,2,1,1,2,3,4,2,2,1,1,1,NA,8,9,8,9,3,2,15,13,NA,13,23,17,28,NA,NA,6,7,11,12,16,NA,3,3,NA,1,NA,NA,19,20,12,9,NA,NA,12,25,13,3,NA,19,7,29,NA,NA
"34",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,3,4,5,2,2,2,1,3,3,2,3,1,4,3,1,3,2,3,1,1,2,4,4,2,2,1,1,1,NA,10,12,8,11,3,2,14,14,NA,12,23,15,25,NA,NA,7,8,10,13,15,NA,3,3,NA,1,NA,NA,18,19,12,12,NA,NA,12,26,13,3,NA,20,5,28,NA,NA
"35",1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,3,4,3,2,2,1,1,3,4,2,3,1,2,3,1,3,2,2,1,1,2,3,4,2,1,1,1,1,NA,11,8,9,10,3,2,18,20,NA,12,23,21,26,NA,NA,6,8,12,11,16,NA,4,3,NA,1,NA,NA,20,19,10,11,NA,NA,12,25,13,3,NA,18,6,26,NA,NA
