"","16","17","49","50","51","52","59","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","94"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,3,NA,5,3,8,14,13,8,9,13,21,20,17,7,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,2,NA,4,3,10,13,14,9,10,13,25,18,19,9,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,NA,4,3,12,12,14,10,10,13,20,19,17,11,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,2,NA,3,4,8,16,13,9,10,13,23,21,15,8,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,NA,3,4,7,14,15,7,10,15,22,19,16,9,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,NA,3,3,9,14,14,8,9,14,22,19,15,12,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,NA,4,3,8,14,12,9,10,15,21,20,16,11,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,3,NA,5,3,7,14,15,9,11,13,21,19,17,12,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,NA,3,4,9,13,12,9,8,13,21,21,17,9,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,NA,4,4,7,12,13,9,11,14,23,18,18,7,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,2,NA,6,3,10,13,12,10,9,15,23,20,17,9,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,NA,3,4,9,14,14,8,10,13,24,19,16,11,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,NA,3,5,10,12,13,9,8,12,19,18,16,11,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,NA,4,4,7,14,13,8,10,13,21,20,17,9,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,NA,4,6,7,15,16,10,9,13,25,20,16,8,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,NA,3,4,8,13,14,10,8,15,23,20,21,10,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,NA,3,3,10,13,15,10,11,13,24,19,17,7,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,NA,3,3,8,13,14,8,9,16,24,18,15,10,NA
"Mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3.9,1.36,NA,3.68,3.82,9.12,13.96,13.56,8.7,9.76,13.54,22.44,19.28,16.72,9.46,NA
