"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","94","95","97","98","99","100"
"1",27,38,31,50,NA,34,NA,74,89,NA,NA,NA,NA,NA,45,142,60,NA,NA,1,NA,NA,26,92,80,40,103,NA,82,93,43,35,NA,NA,63,68,42,NA,NA,NA,NA,NA,1,NA,NA,44,68,43,18,19,3,1,47,36,36,68,63,59,41,22,26,29,8,44,28,25,27,24,50,31,52,47,61,71,51,51,31,NA,40,46,49,18,16,51,76,17,35,NA,NA,NA,NA,NA,83,72,9,NA
"2",25,36,31,49,NA,37,NA,74,86,NA,NA,NA,NA,NA,48,142,57,NA,NA,1,NA,NA,25,97,81,40,99,NA,79,91,43,33,NA,NA,63,72,35,NA,NA,NA,NA,NA,1,NA,NA,41,61,44,17,15,3,1,46,32,44,81,67,53,42,18,24,28,10,43,28,26,37,24,53,33,52,43,53,70,52,50,31,NA,43,36,45,18,17,50,71,16,33,NA,NA,NA,NA,NA,79,62,13,NA
"3",26,37,31,50,NA,38,NA,75,89,NA,NA,NA,NA,NA,42,142,60,NA,NA,1,NA,NA,25,85,80,40,100,NA,80,92,43,33,NA,NA,63,65,36,NA,NA,NA,NA,NA,1,NA,NA,41,74,45,17,15,3,1,46,35,41,76,60,57,47,29,23,28,10,44,28,26,28,24,48,35,53,43,56,73,53,49,30,NA,38,40,45,22,16,52,68,21,31,NA,NA,NA,NA,NA,83,66,9,NA
"4",27,38,32,49,NA,36,NA,72,91,NA,NA,NA,NA,NA,48,142,61,NA,NA,1,NA,NA,26,87,80,40,99,NA,80,93,43,34,NA,NA,63,76,35,NA,NA,NA,NA,NA,1,NA,NA,42,67,49,19,15,2,1,45,38,33,82,60,52,41,25,23,30,9,45,32,24,27,25,48,28,56,44,59,70,46,53,34,NA,38,37,44,20,15,52,78,23,35,NA,NA,NA,NA,NA,74,63,11,NA
"5",25,37,31,52,NA,34,NA,75,86,NA,NA,NA,NA,NA,45,142,63,NA,NA,1,NA,NA,27,88,80,40,101,NA,79,93,43,33,NA,NA,63,73,39,NA,NA,NA,NA,NA,1,NA,NA,39,72,42,18,15,2,1,47,32,43,75,54,55,47,20,30,30,10,43,29,25,32,26,52,23,53,44,57,76,54,46,31,NA,38,40,50,21,13,43,73,18,38,NA,NA,NA,NA,NA,80,67,9,NA
"6",25,38,31,51,NA,37,NA,75,90,NA,NA,NA,NA,NA,51,142,63,NA,NA,1,NA,NA,25,92,80,40,99,NA,82,92,43,36,NA,NA,63,73,41,NA,NA,NA,NA,NA,1,NA,NA,40,66,52,18,16,4,1,45,34,43,72,61,57,47,18,27,27,10,44,31,26,30,27,54,28,56,43,52,72,54,51,34,NA,37,41,45,22,14,48,75,17,37,NA,NA,NA,NA,NA,74,64,14,NA
"7",27,39,32,51,NA,34,NA,74,89,NA,NA,NA,NA,NA,48,142,64,NA,NA,1,NA,NA,23,94,80,40,98,NA,79,89,43,36,NA,NA,63,68,36,NA,NA,NA,NA,NA,1,NA,NA,42,63,45,18,18,2,2,46,34,43,81,60,55,49,23,25,28,9,42,30,26,34,27,53,27,64,45,59,69,48,51,30,NA,41,37,44,21,16,52,79,27,39,NA,NA,NA,NA,NA,88,69,8,NA
"8",27,37,32,51,NA,31,NA,74,87,NA,NA,NA,NA,NA,48,142,62,NA,NA,1,NA,NA,20,93,80,40,101,NA,81,93,43,36,NA,NA,63,71,36,NA,NA,NA,NA,NA,1,NA,NA,40,65,47,17,16,3,1,44,35,47,77,56,47,48,25,27,28,7,44,30,26,28,24,50,28,68,51,62,67,56,52,32,NA,38,44,43,21,15,48,81,18,38,NA,NA,NA,NA,NA,90,68,11,NA
"9",25,39,33,48,NA,34,NA,72,91,NA,NA,NA,NA,NA,48,142,62,NA,NA,1,NA,NA,26,83,82,40,99,NA,79,91,43,35,NA,NA,63,70,38,NA,NA,NA,NA,NA,1,NA,NA,40,76,45,20,18,3,1,51,34,44,79,60,59,45,23,23,32,9,41,35,25,33,26,50,30,52,44,65,67,52,49,31,NA,36,39,41,20,16,47,76,25,38,NA,NA,NA,NA,NA,83,69,12,NA
"10",25,39,32,50,NA,32,NA,74,89,NA,NA,NA,NA,NA,50,142,63,NA,NA,1,NA,NA,29,93,80,40,101,NA,81,94,43,36,NA,NA,63,71,36,NA,NA,NA,NA,NA,1,NA,NA,41,69,49,18,18,3,1,43,33,48,76,59,53,47,21,30,33,7,43,30,24,37,27,52,33,52,47,59,68,51,48,31,NA,39,39,48,21,15,47,74,21,35,NA,NA,NA,NA,NA,84,59,9,NA
"11",25,36,32,49,NA,31,NA,74,88,NA,NA,NA,NA,NA,43,142,64,NA,NA,1,NA,NA,22,94,80,40,100,NA,78,92,43,36,NA,NA,63,63,37,NA,NA,NA,NA,NA,1,NA,NA,43,67,46,18,16,4,1,52,31,49,79,56,55,41,20,27,27,13,44,29,23,29,26,53,29,60,44,57,73,50,47,30,NA,39,43,46,20,17,50,76,20,32,NA,NA,NA,NA,NA,84,57,11,NA
"12",25,39,32,48,NA,35,NA,72,90,NA,NA,NA,NA,NA,42,142,59,NA,NA,1,NA,NA,26,87,81,41,98,NA,80,93,43,34,NA,NA,63,71,44,NA,NA,NA,NA,NA,1,NA,NA,40,70,46,17,16,2,1,45,34,45,81,62,55,47,30,24,34,10,44,31,26,28,24,51,29,53,44,57,71,51,51,30,NA,39,39,48,23,16,48,74,23,39,NA,NA,NA,NA,NA,82,65,12,NA
"13",25,36,31,50,NA,33,NA,74,92,NA,NA,NA,NA,NA,47,142,62,NA,NA,1,NA,NA,22,89,80,40,99,NA,80,91,43,32,NA,NA,63,64,42,NA,NA,NA,NA,NA,1,NA,NA,41,75,46,18,15,3,1,47,36,41,79,53,53,46,19,26,32,12,43,30,24,32,24,53,26,55,50,60,73,53,50,31,NA,39,40,50,19,18,46,71,19,37,NA,NA,NA,NA,NA,81,58,12,NA
"14",25,36,31,49,NA,34,NA,74,90,NA,NA,NA,NA,NA,49,142,63,NA,NA,1,NA,NA,26,90,80,40,100,NA,81,93,43,35,NA,NA,63,67,37,NA,NA,NA,NA,NA,1,NA,NA,41,66,40,17,18,2,1,50,29,44,71,64,58,47,24,30,28,10,43,29,24,32,24,52,32,55,43,67,68,51,50,31,NA,36,42,48,20,16,46,74,17,35,NA,NA,NA,NA,NA,89,64,11,NA
"15",25,36,33,51,NA,34,NA,74,94,NA,NA,NA,NA,NA,48,142,64,NA,NA,1,NA,NA,24,93,80,40,99,NA,80,92,43,34,NA,NA,63,72,39,NA,NA,NA,NA,NA,1,NA,NA,40,65,47,17,17,2,1,46,37,44,71,56,58,44,25,27,30,19,44,30,25,28,22,51,28,59,46,64,69,48,51,31,NA,37,39,47,24,15,49,73,16,34,NA,NA,NA,NA,NA,87,67,9,NA
"16",25,38,31,50,NA,33,NA,74,89,NA,NA,NA,NA,NA,44,142,65,NA,NA,1,NA,NA,24,90,80,40,101,NA,79,93,43,36,NA,NA,63,66,41,NA,NA,NA,NA,NA,1,NA,NA,41,74,49,18,16,3,1,47,33,45,74,58,56,43,19,28,28,12,41,30,24,32,25,53,27,48,40,65,68,46,48,32,NA,38,39,44,20,19,49,75,18,33,NA,NA,NA,NA,NA,80,61,9,NA
"17",26,39,31,50,NA,36,NA,73,91,NA,NA,NA,NA,NA,45,142,62,NA,NA,1,NA,NA,28,89,80,40,99,NA,79,92,43,35,NA,NA,63,73,35,NA,NA,NA,NA,NA,1,NA,NA,42,65,48,19,16,2,1,47,33,46,77,52,53,48,24,32,34,10,40,31,23,34,23,50,31,54,45,59,71,58,48,30,NA,40,44,43,19,17,50,75,22,34,NA,NA,NA,NA,NA,83,67,12,NA
"18",26,38,33,51,NA,32,NA,74,90,NA,NA,NA,NA,NA,43,142,65,NA,NA,1,NA,NA,26,87,81,40,100,NA,79,91,43,35,NA,NA,63,71,41,NA,NA,NA,NA,NA,1,NA,NA,42,68,50,16,15,2,1,45,41,47,76,63,55,47,20,27,31,10,46,30,25,26,26,51,34,57,40,57,72,52,50,32,NA,38,42,45,24,16,57,75,20,42,NA,NA,NA,NA,NA,81,63,12,NA
"19",26,37,31,51,NA,33,NA,76,89,NA,NA,NA,NA,NA,45,142,62,NA,NA,1,NA,NA,27,90,81,40,98,NA,79,92,43,34,NA,NA,63,71,35,NA,NA,NA,NA,NA,1,NA,NA,39,73,40,18,17,2,1,51,33,49,79,61,54,52,17,25,32,15,47,31,27,33,25,54,32,48,38,58,67,49,49,33,NA,37,45,44,21,18,48,70,22,38,NA,NA,NA,NA,NA,81,64,9,NA
"20",25,38,31,51,NA,33,NA,77,89,NA,NA,NA,NA,NA,52,142,58,NA,NA,1,NA,NA,23,85,80,40,100,NA,80,96,43,33,NA,NA,63,71,39,NA,NA,NA,NA,NA,1,NA,NA,39,77,48,18,17,3,1,49,39,39,85,62,50,50,20,26,27,9,44,28,26,35,25,54,29,52,43,59,72,49,52,33,NA,41,41,41,23,17,45,73,18,36,NA,NA,NA,NA,NA,95,63,9,NA
"21",25,37,31,50,NA,34,NA,74,88,NA,NA,NA,NA,NA,43,142,64,NA,NA,1,NA,NA,24,85,80,40,100,NA,78,92,43,36,NA,NA,63,70,38,NA,NA,NA,NA,NA,1,NA,NA,40,72,46,19,16,2,1,43,35,44,75,63,58,43,28,30,31,11,43,30,26,33,23,53,26,52,45,64,70,49,50,31,NA,40,38,45,20,15,43,72,25,38,NA,NA,NA,NA,NA,75,63,10,NA
"22",27,38,32,50,NA,32,NA,75,90,NA,NA,NA,NA,NA,49,142,57,NA,NA,1,NA,NA,26,86,81,41,101,NA,81,91,43,35,NA,NA,63,70,39,NA,NA,NA,NA,NA,1,NA,NA,42,63,44,16,15,3,1,44,35,43,78,61,51,43,21,28,33,11,43,28,24,33,26,55,33,60,50,58,69,53,49,34,NA,37,44,41,22,19,50,77,19,33,NA,NA,NA,NA,NA,91,59,10,NA
"23",26,37,31,53,NA,33,NA,73,88,NA,NA,NA,NA,NA,47,142,61,NA,NA,1,NA,NA,31,87,80,40,100,NA,81,94,43,33,NA,NA,63,66,39,NA,NA,NA,NA,NA,1,NA,NA,41,69,48,17,15,3,1,41,37,53,74,59,51,42,24,23,28,11,44,29,26,36,26,52,32,55,45,58,71,59,49,32,NA,37,42,44,21,17,48,77,22,35,NA,NA,NA,NA,NA,81,64,9,NA
"24",27,38,32,49,NA,32,NA,74,90,NA,NA,NA,NA,NA,50,142,57,NA,NA,1,NA,NA,28,95,80,40,99,NA,80,91,43,35,NA,NA,63,67,35,NA,NA,NA,NA,NA,1,NA,NA,41,69,54,18,16,2,1,46,38,49,69,57,59,53,23,26,35,14,42,32,26,31,25,50,32,57,45,53,66,51,50,33,NA,36,40,43,21,16,52,79,21,39,NA,NA,NA,NA,NA,87,58,11,NA
"25",28,38,31,53,NA,33,NA,73,94,NA,NA,NA,NA,NA,50,142,57,NA,NA,1,NA,NA,28,89,81,40,99,NA,79,92,43,35,NA,NA,63,65,37,NA,NA,NA,NA,NA,1,NA,NA,40,68,50,23,15,2,1,50,38,45,73,53,54,50,22,26,26,12,43,32,28,31,26,49,29,60,46,56,69,51,50,35,NA,40,41,52,20,17,46,68,16,37,NA,NA,NA,NA,NA,84,70,11,NA
"26",25,37,32,49,NA,35,NA,74,89,NA,NA,NA,NA,NA,48,142,63,NA,NA,1,NA,NA,28,91,80,41,99,NA,80,92,43,34,NA,NA,63,75,34,NA,NA,NA,NA,NA,1,NA,NA,41,71,47,18,16,3,1,45,32,39,72,56,60,51,28,30,30,13,47,29,25,33,24,52,30,48,47,56,71,52,51,37,NA,42,42,42,25,16,48,67,15,35,NA,NA,NA,NA,NA,85,65,12,NA
"27",26,36,31,54,NA,33,NA,73,89,NA,NA,NA,NA,NA,50,142,61,NA,NA,1,NA,NA,23,91,81,40,102,NA,82,93,43,32,NA,NA,63,74,33,NA,NA,NA,NA,NA,1,NA,NA,39,70,46,16,16,3,1,40,38,42,73,64,60,46,26,26,32,9,46,32,27,29,26,50,33,59,50,59,75,54,51,32,NA,38,38,49,28,16,53,73,23,39,NA,NA,NA,NA,NA,86,65,12,NA
