"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","93","94","95","96","97","98","99"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,8,7,5,7,2,6,10,1,1,3,3,NA,30,22,20,16,9,55,77,45,37,23,34,33,40,34,41,40,26,46,66,82,98,24,58,70,0,18,79,60,NA,119,72,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,7,9,6,4,3,6,10,1,1,3,2,NA,30,24,19,17,11,56,76,43,30,25,36,40,44,39,43,37,29,44,68,81,102,26,58,84,0,14,81,62,NA,123,68,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,7,8,4,7,2,6,10,1,1,2,3,NA,33,25,28,15,11,57,73,47,31,24,34,36,45,35,47,40,23,49,77,85,102,28,62,79,0,16,76,57,NA,120,73,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,7,7,6,5,2,6,10,1,1,3,5,NA,28,27,21,15,9,56,76,48,37,25,39,35,43,33,43,36,22,47,83,82,110,25,57,69,0,17,76,62,NA,129,70,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,7,6,5,5,3,6,10,4,1,2,3,NA,31,25,21,15,6,59,71,42,35,24,31,33,43,33,48,41,26,48,80,77,100,26,61,73,0,18,72,55,NA,128,70,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,7,8,6,8,3,6,10,1,1,2,4,NA,30,24,22,17,10,51,75,49,34,25,35,35,41,39,47,43,26,44,68,86,102,27,59,77,0,18,79,54,NA,119,68,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,7,9,6,4,2,6,10,1,1,3,2,NA,27,24,18,16,11,58,73,47,31,27,36,34,38,31,43,40,28,47,78,82,95,24,57,87,0,13,72,59,NA,113,72,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,7,7,5,5,4,6,10,1,1,3,2,NA,27,25,19,16,7,53,78,43,32,23,33,35,43,35,51,43,25,46,72,85,103,26,61,89,0,17,69,59,NA,117,70,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,8,8,4,4,5,6,10,1,1,2,3,NA,31,25,23,16,8,59,77,51,34,25,36,36,46,35,41,43,23,48,79,84,97,23,53,92,0,18,89,63,NA,122,69,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,7,8,6,4,3,6,10,1,1,2,3,NA,30,24,24,19,10,54,73,43,33,23,41,35,38,34,46,42,22,46,73,81,107,26,56,85,0,15,73,61,NA,116,71,NA
