"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"29",29,2.62,1.6,1.2,0.7,0.06,0,3.92,1.34,1.68,3.74,8.62,4.97372935310342,10.68,5.42,0.525459706959707,0.491688644688645,0.366839591486729,0.294267445466819,0.764429588101913,0.245287104914935,NA,0.0866433975699932,0.588858853544987,0.178133626900025,0.245666666666667,0.13,0.346099259747626,0.181531607635933,0.68,0.458666666666667
"30",30,1.6,0,0,0,0,0,0.56,0.08,0.3,4.78,3,NA,5.72,5.08,0.145753968253968,0.10818253968254,0.063884375344026,0.0196165850602345,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.454666666666667
"31",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,0,0.84,0,0,0,0,1.28,2.06,0,4.86,6.1,NA,8.2,4.86,0.157777777777778,0.410992063492063,0,0.369529158629932,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.57947619047619
"34",34,0.84,0.62,0.08,0.38,0,1.12,4.44,0.44,0.5,6.42,6.48,2.41392345778135,11.8,6.92,0.421048951048951,0.413031635031635,0.0744957980634962,0.062993087116525,0.346573590279973,0.693147180559945,0.346573590279973,NA,-0.134807573641738,0.262874768601389,0.00396825396825397,0.538461538461538,-0.014752926792399,0.138629436111989,0.2,0.173452380952381
"35",35,0.62,1.08,0.54,0.2,1.18,0,0.28,0.48,0,6.86,1.98,0.812182950753108,7.62,6.86,0.0345952380952381,0.0936587301587302,0,0.0665775734641124,0.102688471194066,0.231049060186648,0.0990210257942779,0.173286795139986,0.0749348303308049,-0.418827734455603,0.0540540540540541,0.00694444444444444,0.0749348303308049,-0.0407218061188194,0.72972972972973,0.180388888888889
"36",36,1.08,1.76,0.22,0.38,0,0.14,2.38,1.04,1.16,6.18,6.26,2.50945305157883,10.76,7.34,0.327861471861472,0.313000943500943,0.174561231796746,0.157943145277169,0.666994264882511,0.72526982664805,0.444656515581145,0.726799476461769,0.423740510713059,0.727585764458186,0.556737588652482,0.598666666666667,0.423740510713059,0.389485898423532,0.388888888888889,0.272793650793651
"37",37,1.76,3.3,1.3,0.64,0.4,0.52,0.72,0.48,0.44,6.78,5.14,2.56432660120924,8.42,7.22,0.120490065490065,0.1266891996892,0.061617801637886,0.0681524091609264,0.181822437789366,0.841212610194182,-0.0703352679190009,0.519295685089021,0.00700983826294193,0.563785595858583,0.0510912698412698,0.279,0.0781269195475401,0.382502438622621,0.654513888888889,0.528706349206349
"38",38,3.3,4.82,2.16,0.64,0.64,0,2.14,1.5,1.24,6.02,8.82,4.18039747029258,10.9,7.26,0.304998390498391,0.328586857586858,0.192297298980695,0.228859841248674,0.441781553896219,0.833023502286234,NA,0.485160538560587,0.380737337667524,0.479197846143155,0.193333333333333,0.31518253968254,0.24459578344295,0.409883128087161,0.789333333333333,0.667833333333333
"39",39,4.82,0,0,0,0,0.56,3.2,0.38,3.74,3.78,10.28,NA,11.1,7.52,0.627433566433566,0.319292374292374,0.696597298307662,0.0899116783507177,NA,NA,NA,NA,1.52845005444039,NA,0.884476190476191,NA,1.52845005444039,NA,NA,0.809666666666667
"40",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,0,0.96,0,0,2.36,0,0.12,0.06,0.14,4.02,1.26,NA,4.34,4.16,0.0515238095238095,0.0383333333333333,0.0316253407093481,0.0172609243471069,NA,NA,NA,NA,NA,-0.737694264777178,NA,0.0348837209302326,NA,0.0165035042990463,NA,0.236714285714286
"42",42,0.96,1.58,0.48,0.02,0,0.16,0.68,0.18,0.58,3.5,3.52,1.23423812767326,4.94,4.08,0.24147619047619,0.167785714285714,0.146494859825281,0.0462775819922561,0.0577622650466621,0.529675638391324,-0.0364814305557866,NA,0.0630133800509041,0.536214500078069,0.284090909090909,0.652482269503546,0.0630133800509041,0.508488612855671,0.96,0.61
"43",43,1.58,1.38,0.82,0.44,0.02,0.26,0.8,0.28,0.26,3.42,3.42,1.51268462222231,4.76,3.68,0.210571428571429,0.211761904761905,0.0797571106636895,0.0775176791762455,0.406200812060585,0.300803196223641,0.294267758925103,0.334531982141889,0.294790817238652,0.33704065050399,0.196666666666667,0.19047619047619,0.290079495812397,0.250397252933997,0.638297872340426,0.623666666666667
"44",44,1.38,0.8,0.52,0.42,0.26,1.18,0.06,0.02,0.46,3.24,2.38,1.05626347261526,3.78,3.7,0.119,0.0183333333333333,0.13167868319829,0.00575364144903562,0.503777291429416,0.0277258872223978,-0.0507404530185403,-0.0945200700763562,-0.145857755818805,0.0144405662616655,0.00177304964539007,0.0102040816326531,0.0213223750654723,0,0.5625,0.578333333333333
"45",45,0.8,1,0.74,0.98,0.78,0,0.12,0,0.34,2.92,1.46,0.998246197657142,3.38,3.26,0.113666666666667,0.0286666666666667,0.102297345927486,0,0.0374674151654024,0,0.0256721177985165,-0.138629436111989,0.0358351893845611,-0.233856422012388,0.01,-0.0933333333333333,0.0138629436111989,-0.067230078010434,0.44,0.356666666666667
"46",46,1,2.54,0.8,0,0.32,0.12,1.72,2.56,0.54,2.38,7,2.49873179100835,7.2,2.92,0.315436507936508,0.595753968253968,0.211884176239026,0.738398164750613,0,0.946562873127548,-0.812282320777534,0.332309199241431,0,0.757979932218898,0.08,0.56,0,0.757979932218898,1,0.94
"47",47,2.54,1.14,1.02,1.64,0,0.72,0.78,0.24,1.36,3.58,3.56,3.00765228873476,5.96,4.94,0.363246031746032,0.159992063492063,0.345408192985105,0.0722383682595562,0.813251667805047,0.0656902672249128,0.678112450953647,0.0781181556188153,0.222242866095329,0.0445877970885237,0.135666666666667,0.0136054421768707,0.165858422534445,0.0224206589524104,0.425170068027211,0.359333333333333
"48",48,1.14,3.46,0.78,0.28,1.56,0.1,3.64,2,0.88,2.94,8.42,3.65458925882263,9.46,3.82,0.475295204795205,0.594918081918082,0.28285772223113,0.550180246549556,0.0934721714808219,1.13566061925604,-0.173286795139986,0.313629535004986,0.0688183751880039,0.374486795418546,0.163194444444444,0.277333333333333,0.0591644440425714,0.388598189429716,0.758333333333333,0.663
"49",49,3.46,2.32,0.78,0.44,0.2,0.02,1.38,1.3,3.2,1.74,7.06,3.62141593926416,7.62,4.94,0.600111111111111,0.347,1.01110165194729,0.522284333886769,1.04682003944243,0.721953004917783,1.01140426470735,0.447318741307086,0.963668467566131,0.595606947881818,0.570666666666667,0.415,0.689667998483291,0.40991609472229,0.61965811965812,0.634108527131783
"50",50,2.32,0.74,0.54,0.16,0,0,1.34,0.2,2.22,0.82,4.3,1.50753937042441,4.58,3.04,0.7655,0.341571428571429,0.991146313952468,0.0192540883488874,0.853514241061237,0,NA,-0.264837819195662,0.887856245797741,0,0.624333333333333,0.222222222222222,0.729422604526897,0,0.771428571428571,0.694444444444444
"51",51,0.74,0,0,0,0,0,0.1,0,0.9,0.12,1,NA,1.12,1.02,0.94,0.1,0.693147180559945,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
"52",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
