"","16","17","49","50","51","52","59","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","94"
"1",NA,NA,1,1,1,1,1,1,1,NA,2,2,1,3,3,3,2,4,5,11,7,6,10,18,12,8,9,13,22,19,15,10,NA
"2",NA,NA,1,1,1,1,1,1,1,NA,1,2,1,2,3,3,2,11,5,12,11,8,11,15,13,9,7,12,21,19,15,10,NA
"3",NA,NA,1,1,1,1,1,1,1,NA,1,3,1,2,2,4,2,7,4,11,10,6,10,13,13,8,11,12,26,18,16,10,NA
"4",NA,NA,1,1,1,1,1,1,1,NA,2,2,1,5,2,4,2,7,4,11,9,8,9,15,12,9,13,11,23,22,16,12,NA
"5",NA,NA,1,1,1,1,1,1,1,NA,2,2,1,3,6,4,2,5,4,12,9,7,9,14,12,8,12,13,25,19,16,10,NA
"6",NA,NA,1,1,1,1,1,1,1,NA,2,2,1,3,3,3,2,5,4,11,9,7,8,15,10,10,11,16,22,20,17,10,NA
"7",NA,NA,1,1,1,1,1,1,1,NA,1,2,1,3,2,3,2,7,6,11,8,7,10,17,13,8,11,14,24,19,15,8,NA
"8",NA,NA,1,1,1,1,1,1,1,NA,1,2,1,4,3,4,2,6,6,11,8,6,10,14,13,9,9,14,20,21,19,10,NA
"9",NA,NA,1,1,1,1,1,1,1,NA,1,2,1,2,3,4,2,6,4,11,8,6,9,15,12,8,7,14,21,19,18,10,NA
"10",NA,NA,1,1,1,1,1,1,1,NA,1,2,1,3,4,3,3,10,4,12,7,6,10,15,13,9,11,13,22,19,15,11,NA
"11",NA,NA,1,1,1,1,1,1,1,NA,1,4,1,3,3,4,2,9,7,11,8,6,10,15,15,7,8,15,24,20,18,9,NA
"12",NA,NA,1,1,1,1,1,1,1,NA,2,2,1,3,2,3,4,5,5,11,8,7,9,13,11,11,9,14,19,18,16,10,NA
"13",NA,NA,1,1,1,1,1,1,1,NA,1,2,1,4,5,3,2,7,6,11,8,8,9,15,13,9,11,13,22,21,15,9,NA
"14",NA,NA,1,1,1,1,1,1,1,NA,1,2,1,2,2,4,2,5,4,11,6,8,10,14,14,9,13,13,23,19,19,10,NA
"15",NA,NA,1,1,1,1,1,1,1,NA,2,2,1,3,5,4,4,6,4,11,9,6,11,15,17,8,9,13,19,19,15,9,NA
"16",NA,NA,1,1,1,1,1,1,1,NA,1,2,2,2,5,3,2,7,5,12,8,6,11,14,15,8,8,13,21,18,17,9,NA
"17",NA,NA,1,1,1,1,1,1,1,NA,1,2,1,4,5,3,3,8,4,12,7,6,9,15,16,13,11,15,28,19,16,10,NA
"18",NA,NA,1,1,1,1,1,1,1,NA,2,3,1,4,2,4,3,5,6,11,9,7,10,13,13,7,10,16,24,19,16,10,NA
"19",NA,NA,1,1,1,1,1,1,1,NA,1,2,1,3,4,3,2,6,7,11,9,6,9,14,11,9,9,11,21,20,16,8,NA
"20",NA,NA,1,1,1,1,1,1,1,NA,1,2,1,4,3,4,2,5,4,11,8,7,7,15,15,9,8,12,28,19,16,10,NA
"21",NA,NA,1,1,1,1,1,1,1,NA,2,2,1,3,4,3,2,7,6,11,9,6,8,15,13,9,9,14,23,19,17,11,NA
"22",NA,NA,1,1,1,1,1,1,1,NA,1,2,1,4,3,4,2,6,6,11,11,7,10,16,13,9,9,15,21,19,17,7,NA
