"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"66",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",68,0,1.02,0,0,0,0,0.7,0.02,0.18,3.48,2.54,NA,4.38,3.66,0.196,0.159666666666667,0.0554517744447956,0.00575364144903562,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.488666666666667
"69",69,1.02,0,0,0,0,0.46,0.3,0.66,0.92,2.58,3,NA,4.46,3.5,0.283,0.215666666666667,0.313436170966598,0.218502776001362,NA,NA,NA,NA,0.0729628611115732,NA,0.616279069767442,NA,0.182407152778933,NA,NA,0.455
"70",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,0,0,0,0,0,0,0.16,0.64,0,3.24,1.62,NA,4.04,3.24,0.0321904761904762,0.183904761904762,0,0.187014228417402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.264
"72",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,0,6.2,0,0,0,0,7.24,6.88,0.44,3.44,16.44,NA,18,3.88,0.426825679394565,0.785121947024424,0.119806720674564,1.12745349022112,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.563333333333333
"75",75,6.2,6.62,2.22,1.64,0,1.5,3.92,6.32,2.4,7.92,17.6,15.3218662486526,20.56,10.32,0.305920636571666,0.49900950994086,0.270503222863575,0.598442712836992,1.06643426609653,1.1193094841251,0.552431934436414,NA,0.395342551370749,0.810347117824829,0.177730158730159,0.333599567099567,0.214416004598237,0.462372697404108,0.561761904761905,0.630259018759019
"76",76,6.62,4.22,3.48,2.16,0.48,0,1.96,1.18,2.9,11.34,11.48,9.14860804287715,17.38,14.24,0.277103033877028,0.176898019335326,0.233113706663925,0.0995222291251002,0.70077234441328,0.224917253594424,NA,-0.374646668442579,0.466185654465278,0.0449822396184046,0.160922799422799,0.0187222222222222,0.197827101009566,0.023662498391364,0.630587301587302,0.481570374070374
"77",77,4.22,0,0,0,0,0,2.56,1.84,3.14,9.38,11.14,NA,16.92,12.52,0.334003287132544,0.25850463717569,0.291312918369621,0.176687638801625,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.386962148962149
"78",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,0,6.72,0,0,0,0,3.2,3.66,1.86,9.36,12.02,NA,18.08,11.22,0.281150296641783,0.381681224004753,0.181157433948763,0.335287657796259,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.357838716838717
"81",81,6.72,7.74,3.88,0.24,0,0,10,6.62,4.26,8.76,26.24,12.9108592756535,29.64,13.02,0.481113114432636,0.561464368007471,0.400563237521438,0.569736050804185,0.562531911473254,0.702364366122094,-0.196983151082222,NA,0.532041737440278,0.668631815099589,0.371246031746032,0.447920634920635,0.481278714154141,0.617868791813453,0.943333333333333,0.617307359307359
"82",82,7.74,0.62,0.56,1.46,0,0,4.76,0.22,4.34,11.04,13,14.0984836470886,20.36,15.38,0.448589508142207,0.245077116860197,0.334411149290607,0.0190731575275623,2.03873233039562,0,NA,-0.0817915204641246,1.53137405043213,0.0253415692567603,0.623408369408369,0,1.00098568421151,0,0.277777777777778,0.337109002109002
"83",83,0.62,0,0,0,0,3.24,0.54,0.3,0.58,10.68,3,NA,12.1,11.26,0.0931678599178599,0.066499666999667,0.0563702048909927,0.0276944011437823,NA,NA,NA,NA,-1.08561102457252,NA,0,NA,0,NA,NA,0.151006771006771
"84",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,0,1.68,0,0,0,0,8.8,1.82,4.96,6.02,19.14,NA,21.6,10.98,0.636322822207033,0.490681625011144,0.607225567403388,0.261742256841085,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.592626984126984
"86",86,1.68,2.82,0.92,3.7,0,NA,1.84,1.16,0.84,7,5.5,10.92533264205,10.84,7.84,0.246701853701854,0.276880619380619,0.114995186969228,0.153346212764396,0.460845515372958,0.921691030745915,NA,NA,NA,0.370829072954884,NA,0.0146666666666667,NA,0.0183258146374831,0.20718253968254,0.251666666666667
"87",87,2.82,NA,NA,NA,NA,NA,19.24,NA,8.16,NA,27.4,NA,27.4,8.16,1,0.701555083099496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
