"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","81","83","85","87","94","98","99","100"
"",35,45,35,46,NA,NA,69,45,45,54,26,74,68,64,35,82,48,40,60,45,27,19,42,60,38,NA,34,23,49,49,22,33,29,27,40,38,20,15,15,37,17,15,22,NA,3,35,44,38,34,25,6,12,25,39,37,34,29,37,26,28,10,31,13,29,25,29,22,30,15,10,13,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",38,39,34,40,NA,NA,68,42,46,54,28,76,66,66,37,77,47,39,63,40,29,14,35,61,40,NA,31,23,43,48,21,28,27,27,43,32,18,16,15,33,13,16,26,NA,5,36,41,46,36,22,8,17,33,40,32,30,39,34,29,29,8,35,16,29,22,29,22,30,20,8,13,NA,13,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",32,44,34,43,NA,NA,66,46,46,55,25,74,67,60,39,83,48,38,61,56,29,15,40,62,40,NA,35,26,47,40,21,32,29,24,44,34,18,11,15,34,12,19,20,NA,3,29,40,40,32,27,7,15,28,41,32,35,31,33,31,25,10,28,17,33,21,29,21,30,18,9,14,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",36,43,35,40,NA,NA,66,42,42,54,27,74,66,58,35,86,49,39,62,41,25,18,35,63,37,NA,34,28,44,38,25,30,36,28,43,32,17,13,18,37,15,18,19,NA,5,36,39,44,39,24,10,15,25,38,35,28,34,37,30,23,11,29,16,30,22,29,23,30,17,9,14,NA,13,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",32,42,35,43,NA,NA,74,42,48,53,25,76,66,63,39,87,50,43,54,45,27,12,36,59,42,NA,34,22,58,47,25,34,23,27,39,37,14,16,18,36,16,17,20,NA,5,38,41,35,35,20,8,14,30,38,33,28,32,35,25,23,10,37,16,31,26,29,28,30,19,8,14,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",34,42,35,41,NA,NA,69,43,42,52,25,74,67,56,36,77,44,38,56,44,31,13,40,64,34,NA,35,21,51,42,25,37,27,37,41,30,17,10,16,32,14,17,22,NA,5,35,39,36,37,25,8,17,24,42,32,36,33,36,25,24,10,29,16,33,21,30,23,30,18,10,13,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",34,48,35,42,NA,NA,65,43,43,55,25,74,67,65,32,86,44,41,65,39,29,14,40,63,39,NA,37,22,46,43,24,31,24,27,43,33,15,9,17,34,13,18,23,NA,4,38,40,34,31,24,9,17,27,41,31,33,33,36,23,28,6,30,17,32,22,30,22,30,18,11,14,NA,11,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",37,49,34,39,NA,NA,71,45,44,52,23,76,68,60,38,78,45,38,60,53,28,14,39,61,39,NA,32,22,48,50,21,35,30,28,41,32,19,6,17,38,16,15,22,NA,4,38,42,38,33,21,7,17,24,43,39,29,31,36,29,27,10,34,14,34,23,29,22,30,19,10,13,NA,13,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",30,47,34,46,NA,NA,68,44,45,55,26,74,67,61,38,84,47,44,57,44,27,14,36,64,40,NA,31,24,47,44,25,32,30,27,38,34,22,8,15,33,15,15,21,NA,3,41,34,38,37,24,8,15,36,43,36,29,31,37,31,27,11,34,15,27,28,29,22,30,16,9,13,NA,11,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",34,44,34,44,NA,NA,68,44,46,56,26,73,66,59,38,77,53,37,54,46,25,13,36,62,38,NA,33,27,44,50,26,33,27,24,41,33,15,7,15,34,17,16,27,NA,4,34,43,40,31,22,9,13,23,45,33,27,37,40,27,25,10,30,18,29,25,29,21,30,18,9,13,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",31,43,34,43,NA,NA,71,46,46,51,25,72,66,63,37,85,47,38,57,42,30,14,34,61,36,NA,35,29,42,43,23,30,26,26,41,31,18,7,16,34,18,17,19,NA,4,37,41,39,33,23,9,11,27,45,34,35,32,36,27,29,8,33,15,33,23,30,23,30,17,8,14,NA,13,NA,NA,NA,NA,NA,1,NA,NA,1,1
