"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,22,27,24,41,44,59,35,28,19,17,31,66,28,34,56,29,46,26,29,25,23,18,7,54,49,43,63,82,17,16,23,14,25,22,25,19,22,16,17,22,19,32,16,19,24,36,15,20,8,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,24,27,27,31,46,62,34,26,22,18,36,60,28,46,48,24,42,22,29,32,25,14,9,48,58,42,61,85,18,18,27,12,23,24,22,22,20,14,14,24,20,29,16,17,22,38,12,21,9,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,24,24,26,33,37,59,35,31,26,13,30,69,28,33,54,23,43,24,26,28,26,15,9,53,57,49,65,89,18,16,26,11,21,22,23,19,20,16,14,23,15,31,16,18,26,38,13,20,9,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,28,27,29,33,38,61,35,33,19,19,29,61,33,31,59,28,41,21,29,28,25,17,7,56,51,49,65,81,18,15,24,14,22,24,23,19,18,14,14,22,14,27,16,15,26,37,11,19,7,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,25,29,21,34,43,62,31,24,18,18,30,69,31,35,52,27,45,25,28,28,33,16,10,54,52,50,66,82,17,22,26,17,23,23,24,19,21,16,14,21,19,26,16,16,22,36,13,18,8,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,30,22,24,32,46,54,39,31,21,18,31,61,27,36,49,31,45,23,28,25,26,18,8,53,60,49,67,77,21,21,27,14,25,25,24,23,22,17,13,24,14,26,16,21,27,30,13,20,12,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,26,21,23,35,36,61,38,29,22,17,37,63,33,33,52,28,44,23,28,28,21,15,9,57,54,50,68,89,20,20,27,14,23,22,20,24,20,17,15,23,16,28,16,20,23,32,16,20,9,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,27,27,29,37,44,58,39,28,23,23,26,62,25,36,53,28,43,25,29,26,26,17,12,59,54,43,62,92,18,17,25,12,24,22,26,19,21,18,12,24,15,26,16,18,22,40,14,20,7,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,30,23,21,30,42,59,34,31,23,19,29,61,26,42,54,27,46,24,34,30,23,15,9,63,51,43,62,79,21,23,27,14,23,24,23,19,23,19,13,22,16,30,16,18,22,38,16,21,11,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,29,24,28,34,41,63,38,36,20,22,29,66,29,32,52,27,43,23,31,27,24,15,10,51,51,40,76,87,16,19,29,13,28,26,26,22,19,19,17,22,14,27,16,17,22,33,11,17,9,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,26,21,26,36,44,65,38,26,22,17,33,62,29,33,50,32,38,23,30,23,29,14,12,48,55,44,72,77,15,18,28,13,25,26,23,19,22,18,14,22,16,26,16,20,24,33,12,20,7,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,28,25,27,35,34,62,38,26,26,17,30,64,28,39,52,27,46,23,29,26,29,15,8,53,55,44,65,84,20,17,30,13,31,31,22,19,22,16,15,24,19,26,16,21,22,31,13,18,8,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,24,22,19,32,44,52,39,31,23,18,30,66,31,33,50,26,42,20,29,24,26,17,8,57,52,48,65,87,17,16,22,14,23,24,25,23,21,18,16,22,16,29,16,18,28,36,12,18,10,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,24,25,26,35,42,58,39,30,20,18,27,62,33,32,51,30,38,22,28,29,24,15,10,57,56,45,65,87,19,16,27,14,24,21,24,23,20,15,13,23,18,30,16,19,28,42,13,17,8,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,30,23,25,33,39,61,35,28,23,15,34,60,28,33,54,26,43,23,28,25,24,17,9,57,55,50,64,87,17,18,27,12,21,27,22,17,19,19,15,22,19,27,16,17,23,35,11,22,11,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,23,23,26,34,38,68,35,34,24,18,35,63,31,35,52,22,43,25,27,26,27,14,11,56,49,45,63,76,16,17,29,14,27,23,23,21,18,17,16,23,24,28,16,19,28,35,15,21,8,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,23,28,26,34,44,62,39,28,23,20,33,58,26,32,54,30,40,23,26,29,23,15,8,61,54,42,61,86,18,13,20,15,27,21,24,17,19,17,14,22,15,32,16,19,22,37,12,17,8,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,28,23,24,32,38,59,45,33,21,18,36,65,31,33,53,27,44,23,28,29,28,14,8,58,54,47,70,86,19,19,26,14,24,21,23,21,21,16,14,22,17,30,16,19,26,41,16,19,8,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,24,28,26,30,43,57,33,32,20,20,26,65,31,38,59,23,40,25,28,23,30,16,11,53,58,43,69,84,19,16,26,14,25,25,24,21,24,14,15,23,19,33,16,17,25,34,12,19,9,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,29,30,26,31,46,57,41,29,22,20,32,65,38,33,52,33,41,23,28,24,25,16,8,51,54,48,71,82,15,17,32,13,25,24,28,19,20,16,14,22,14,26,16,18,24,38,13,22,8,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,27,27,21,35,44,74,37,27,26,18,31,65,28,32,55,27,42,21,28,25,26,16,11,52,55,42,73,87,19,17,27,13,27,22,20,24,22,19,12,22,14,24,16,22,21,40,13,19,8,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,23,27,28,37,43,56,41,30,22,22,27,67,29,39,57,25,43,26,31,27,25,20,10,52,61,41,65,82,14,17,22,13,25,23,24,18,25,18,17,22,15,27,16,16,21,35,11,18,6,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,24,25,30,32,38,53,39,31,22,14,29,71,32,34,52,25,40,27,25,25,26,17,9,58,52,45,61,93,16,23,28,15,25,22,20,23,21,16,12,24,17,31,16,16,24,32,16,19,6,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,26,23,27,34,46,53,39,27,23,19,32,66,27,39,50,28,44,23,31,31,27,15,7,58,50,43,65,88,22,23,30,13,24,25,20,20,22,16,15,25,19,26,16,18,22,38,14,19,8,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,26,26,30,31,39,58,35,29,20,17,33,70,28,36,50,30,41,27,26,29,28,15,8,54,50,52,59,85,19,24,26,13,23,26,20,21,24,15,16,23,14,23,16,15,20,37,13,20,8,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,24,21,28,32,41,53,35,30,22,16,30,61,26,32,50,26,47,25,28,27,28,16,10,57,54,46,66,83,21,17,28,15,21,22,27,18,23,17,18,23,14,24,16,17,19,37,10,19,8,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,28,25,25,32,40,59,34,27,21,25,31,62,30,40,57,30,40,28,28,26,27,13,10,57,50,41,67,79,23,22,28,14,26,23,23,22,20,16,14,23,14,29,16,17,22,33,13,24,10,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
