"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","93","94","97","98","99","100"
"1",NA,NA,NA,NA,NA,NA,NA,121,202,131,154,153,NA,186,NA,97,111,151,NA,NA,NA,66,58,71,95,NA,59,139,58,48,NA,NA,NA,6,NA,42,NA,19,32,NA,NA,17,9,15,NA,11,18,38,46,26,23,7,8,26,4,11,29,NA,9,NA,NA,37,44,40,40,NA,31,9,17,13,4,7,6,8,11,9,7,8,6,6,11,11,9,13,15,25,32,14,16,24,NA,4,3,1,NA,1
"2",NA,NA,NA,NA,NA,NA,NA,128,200,139,154,151,NA,183,NA,104,107,156,NA,NA,NA,65,65,69,88,NA,52,142,49,49,NA,NA,NA,6,NA,42,NA,18,31,NA,NA,16,10,15,NA,11,23,42,45,26,31,11,7,26,5,8,29,NA,10,NA,NA,37,41,35,40,NA,33,13,13,12,5,4,6,8,13,9,7,5,6,6,10,10,6,14,14,25,35,13,16,21,NA,3,3,1,NA,1
"3",NA,NA,NA,NA,NA,NA,NA,120,202,137,154,141,NA,182,NA,95,112,152,NA,NA,NA,66,61,70,88,NA,59,145,48,49,NA,NA,NA,7,NA,43,NA,19,31,NA,NA,16,8,16,NA,14,25,41,46,26,27,10,8,28,5,10,28,NA,9,NA,NA,37,38,30,40,NA,30,11,12,11,5,5,5,8,11,8,9,4,5,5,9,8,7,14,18,26,35,17,18,21,NA,5,3,2,NA,1
"4",NA,NA,NA,NA,NA,NA,NA,123,199,141,154,142,NA,181,NA,92,110,153,NA,NA,NA,65,63,71,98,NA,55,144,47,48,NA,NA,NA,9,NA,42,NA,19,32,NA,NA,18,9,16,NA,13,26,33,44,20,25,7,7,28,5,10,28,NA,9,NA,NA,37,39,34,40,NA,32,13,14,11,4,5,6,8,11,8,7,9,6,5,9,9,6,15,13,27,36,15,15,19,NA,3,3,1,NA,1
"5",NA,NA,NA,NA,NA,NA,NA,125,201,136,154,142,NA,180,NA,97,106,157,NA,NA,NA,64,57,71,92,NA,59,142,53,48,NA,NA,NA,8,NA,44,NA,18,31,NA,NA,21,10,16,NA,13,22,36,43,27,27,8,5,30,4,9,28,NA,10,NA,NA,37,39,31,40,NA,32,14,12,15,7,5,8,8,13,8,8,6,5,5,11,8,7,14,11,26,37,14,19,23,NA,3,3,2,NA,1
"6",NA,NA,NA,NA,NA,NA,NA,122,202,129,154,145,NA,183,NA,95,113,151,NA,NA,NA,64,63,64,94,NA,51,144,54,48,NA,NA,NA,9,NA,42,NA,19,31,NA,NA,17,8,15,NA,14,23,36,45,25,31,8,8,29,4,9,29,NA,10,NA,NA,37,42,32,40,NA,33,9,14,11,7,4,8,11,14,8,8,6,7,5,8,7,7,13,19,28,32,12,15,24,NA,3,3,2,NA,1
"7",NA,NA,NA,NA,NA,NA,NA,126,195,130,154,142,NA,179,NA,91,109,159,NA,NA,NA,65,61,72,90,NA,59,136,53,50,NA,NA,NA,6,NA,42,NA,18,31,NA,NA,18,9,14,NA,10,23,42,42,27,27,9,10,28,3,10,28,NA,8,NA,NA,37,43,37,40,NA,32,13,14,11,6,6,5,9,15,8,8,7,7,6,10,10,7,13,11,26,39,13,15,21,NA,4,3,1,NA,1
"8",NA,NA,NA,NA,NA,NA,NA,124,205,129,154,144,NA,181,NA,101,108,151,NA,NA,NA,64,61,69,93,NA,53,140,52,49,NA,NA,NA,8,NA,42,NA,18,31,NA,NA,16,9,17,NA,12,21,36,51,26,28,9,6,29,4,12,28,NA,9,NA,NA,37,39,34,40,NA,31,12,11,14,5,7,8,11,9,8,8,5,5,7,8,8,9,14,14,26,37,15,16,19,NA,3,3,1,NA,1
"9",NA,NA,NA,NA,NA,NA,NA,121,200,139,154,145,NA,180,NA,105,111,152,NA,NA,NA,64,60,64,96,NA,56,131,47,50,NA,NA,NA,7,NA,43,NA,18,31,NA,NA,23,9,17,NA,12,23,37,48,25,30,9,5,28,4,9,28,NA,9,NA,NA,38,42,37,40,NA,33,9,15,14,5,6,8,8,13,7,10,11,5,5,9,8,7,15,15,23,39,14,18,23,NA,5,3,2,NA,1
