"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"53",53,1.78,6.24,1.18,0.22,0,0.74,2.4,10.08,0.14,2.8,14.26,8.26326802295501,15.42,2.94,0.160517296257234,0.807089653810242,0.0693147180559945,1.60132313706223,0.3313208866384,1.59379814407293,-0.131373841032055,NA,-0.0531161160294772,1.50018286808327,0.0935374149659864,0.738095238095238,0.143862343699099,1.40209086394569,0.876811594202899,0.610333333333333
"54",54,6.24,5.86,3.46,1.72,0.54,1.4,7.04,7.22,1.02,11.86,20.72,16.4685257643671,27.14,12.88,0.296632222487657,0.523163639135865,0.0815278715675902,0.477238017648219,0.638178739492005,0.590423881465318,0.161290063748302,0.464060089486522,0.196691934333194,0.309295786372885,0.114266955266955,0.148309523809524,0.138037016361874,0.183300468237635,0.673214285714286,0.460500832500833
"55",55,5.86,2.66,1.9,1.18,1.42,4.32,3.26,1.56,1,18.08,12.9,10.6216915291819,23.9,19.08,0.177918596328665,0.201265217154233,0.0536661307176144,0.083405418307351,1.11992401200726,0.29471594903362,0.0230519918204145,-0.142942525793818,-0.0507549541239308,-0.175214548647564,0.0232092352092352,-0.0903333333333333,0.0294681554744007,-0.074842479372655,0.635714285714286,0.395547927379601
"56",56,2.66,2.84,1.7,3.26,2.6,2.06,1.12,0.92,0.74,18.9,6.8,10.1317648013224,21.68,19.64,0.0862258522264243,0.0936624727082393,0.0384622789559756,0.0468633057048767,0.450820989750803,0.502822790926713,-0.228245622407887,0.0334868385339768,-0.175262254765964,-0.214509663556324,-0.134261904761905,-0.0899285714285714,-0.120875370611544,-0.079593175319606,0.344904761904762,0.214891193097446
"57",57,2.84,5.36,1.34,1.58,3.06,0.72,1.74,6.12,1.4,18.42,17.08,17.1675469939696,27.68,19.82,0.11324380604667,0.284992791290817,0.0743195714979496,0.290640782974413,0.599058156717762,1.26650487480592,-0.175608443219629,0.211321066315222,0.229282706016016,0.153816476536757,0.0946666666666667,0.122301587301587,0.123316358685055,0.142939127917411,0.434666666666667,0.426955410138537
"58",58,5.36,5.44,3.46,3.9,0.88,1,1.42,1.34,1.54,23,11.84,12.5435511867901,27.3,24.54,0.106966247884623,0.0994385074490161,0.0659839076747107,0.0572456822609576,0.44521684472068,0.448046835966154,0.115313619029784,-0.265957324392331,0.103956614964814,0.123813380224039,-0.0146031746031746,-0.00861832611832612,-0.0132541231011742,-0.00789792313517861,0.472738095238095,0.329805655747761
"59",59,5.44,3.98,2.38,0.82,1.88,3.2,1.48,0.76,2.62,21.72,14.14,9.84516274880584,26.58,24.34,0.15387893816963,0.082636028686626,0.115116071444433,0.0333139378658438,0.905569115670909,0.576606219447002,-0.0416069848722188,-0.193199343331418,-0.0258633676626081,-0.0569993268652225,0.0378571428571429,0.00641269841269841,0.0501724635281063,0.014679383501604,0.75,0.429824655959048
"60",60,3.98,4.02,3.22,4.72,1.66,0.26,1.02,1.56,1.34,21.14,8.56,11.2776208464991,25.06,22.48,0.0939531637291237,0.102615680852064,0.0616759116888675,0.0709020166695419,0.225773068005524,0.234698810058093,0.15453025811184,-0.0952044156328029,0.0572943143181966,-0.0946944102452811,-0.00466378066378066,-0.0996984126984127,-0.0017402275397926,-0.0910583514193167,0.410749639249639,0.223723653555879
"61",61,4.02,4.64,2.3,0.16,1.94,0.88,1.46,2.38,5.5,17.2,17.66,9.46118994944629,26.54,22.7,0.262659177549249,0.145856042825482,0.279619621336282,0.132352332726523,0.551908059015421,0.714776049634106,0.163098519974181,-0.220096833227736,0.230506959699376,0.0889584453349251,0.196666666666667,0.0843809523809524,0.243305013020198,0.0995170671683036,0.940972222222222,0.49060332528407
"62",62,4.64,2.72,2.44,0.96,0.36,1.42,0.38,0.8,0.6,18.98,6.5,5.01342349931217,20.76,19.58,0.0474574217327818,0.0552690104454407,0.0316397215352928,0.0402365364178632,0.714704764493949,0.115117969515904,0.14393448959019,0.045257907027898,0.152278590835121,-0.0230145657961425,0.0726666666666667,-0.0213333333333333,0.0869872158426603,-0.0127980533208227,0.708333333333333,0.251680717672271
"63",63,2.72,1.72,1.22,1,0.76,0.16,0.38,0.18,1.08,18.7,5.04,4.70300157688796,20.34,19.78,0.072338381937083,0.0277960278806759,0.0566832955294944,0.00925713007263385,0.699736705542022,0.266622410645001,0.624437199930841,-0.1233498729278,0.463537220765134,-0.101503476304677,0.196666666666667,0.0366666666666667,0.256894310755531,0.0530961137316679,0.568027210884354,0.183870479578004
"64",64,1.72,0.74,0.6,0.1,0.2,0,0.46,0.28,0.7,18.18,4.58,2.31814577321133,19.62,18.88,0.058004711208386,0.0374516383475934,0.0374206249583964,0.0158145793025842,0.561921871029238,0,NA,-0.494564685215286,0.590575748290384,-0.0364814305557866,0.565972222222222,0.0256410256410256,0.512922415484509,0,0.875,0.176077705198886
"65",65,0.74,0,0,0,0,0.58,0.12,0,0.32,18.14,1.76,NA,18.58,18.46,0.0234176387939546,0.00649945697577277,0.0180120610105052,0,NA,NA,NA,NA,-0.216608493924983,NA,0.555555555555556,NA,0,NA,NA,0.0745337876478676
"66",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,0,1.62,0,0,1.04,0,0.5,0.16,0.56,17.58,2.74,NA,18.8,18.14,0.0551123561344654,0.0348694789603391,0.031187010134068,0.0097647146996227,NA,NA,NA,NA,NA,0.401944305090577,NA,0.322695035460993,NA,0.432750846448796,NA,0.0866969426342491
"68",68,1.62,3.12,0.42,0,0,0.58,6.14,2.62,4.26,13.48,18,8.7376978954165,26.5,17.74,0.393792601926973,0.332391921887695,0.280001157521513,0.182826028662801,0.690404233131576,1.0710729126805,0.214868199539468,NA,0.208465327407892,1.0710729126805,0.400709219858156,0.865,0.208465327407892,1.0710729126805,1,0.371653534374123
"69",69,3.12,2.1,0.74,0.76,0.06,2.92,1,1.52,1.94,14.16,6.46,4.77492052762602,18.62,16.1,0.15806603406913,0.135332025473666,0.128975448012662,0.102061307792671,1.13889678497616,0.779406771471467,0.656740244103789,0.788445634844294,-0.132969453621041,0.594860945393993,0.021,0.340333333333333,0.0236051255541724,0.476890414365019,0.55,0.141806481444252
