"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99"
"15",NA,NA,14,14,16,11,18,9,8,9,4,11,1,23,11,11,10,6,17,NA,NA,6,14,22,8,3,6,13,21,19,22,19,20,26,17,27,31,29,24,46,24,17,23,19,12,12,48,48,14,27,13,13,63,56,93,105,85,93,82,73,69,31,13,23,28,30,34,48,55,28,30,72,104,114,57,45,43,42,51,48,45,42,46,26,29,29,32,13,31,16,4,5,5,1,NA,5,NA,1,NA
"16",NA,NA,11,17,15,10,16,10,8,6,4,11,2,22,10,10,13,4,17,NA,NA,6,16,17,8,3,6,15,17,17,19,20,16,27,13,28,30,30,30,48,25,13,21,19,10,14,48,44,17,27,11,11,52,61,85,106,83,99,82,78,63,30,12,27,29,29,44,48,51,33,29,75,102,105,57,41,45,44,42,47,44,47,47,22,39,33,34,12,34,14,4,5,6,1,NA,3,NA,1,NA
"17",NA,NA,12,17,14,11,18,9,8,5,4,11,1,22,10,10,10,6,16,NA,NA,5,15,23,10,2,6,13,17,18,21,23,18,27,15,26,30,39,21,43,26,16,28,19,14,14,53,53,20,25,12,16,49,56,85,104,92,96,81,78,65,31,15,29,33,28,37,52,52,32,31,64,97,107,52,43,44,40,47,50,47,47,50,27,32,26,37,14,31,19,5,5,5,1,NA,5,NA,1,NA
"18",NA,NA,11,15,18,9,15,8,9,7,5,12,1,23,9,12,12,6,16,NA,NA,6,15,13,8,3,7,14,18,18,19,24,20,27,12,31,30,33,25,47,27,17,28,16,11,11,48,44,15,24,12,12,56,67,86,103,93,90,77,76,70,30,16,24,29,36,40,53,53,33,36,70,111,101,52,43,48,39,48,46,47,46,48,24,28,32,36,13,29,16,5,5,4,1,NA,6,NA,1,NA
"19",NA,NA,15,15,17,12,16,9,11,6,4,13,1,24,12,11,12,5,18,NA,NA,5,12,16,8,2,6,13,19,17,21,23,19,28,13,26,26,34,23,44,27,17,29,17,13,18,48,47,15,23,13,13,52,56,92,106,91,96,83,73,61,33,12,27,33,32,40,50,56,34,32,63,107,109,66,38,47,45,50,47,49,45,44,22,29,34,32,14,34,19,5,5,3,1,NA,4,NA,1,NA
"20",NA,NA,15,16,14,10,17,9,9,10,4,12,3,23,11,10,9,6,18,NA,NA,6,11,20,8,3,5,15,17,18,19,18,17,28,10,31,29,31,28,42,23,13,29,20,15,13,52,47,13,31,12,11,55,58,99,106,87,98,75,81,69,37,15,21,33,31,41,47,52,38,37,76,109,101,59,34,46,41,50,49,40,47,45,22,30,32,36,14,35,16,5,5,3,1,NA,4,NA,1,NA
"21",NA,NA,11,15,11,12,16,8,10,7,4,12,2,22,10,9,10,7,18,NA,NA,6,14,11,10,2,4,13,20,16,21,20,20,28,15,29,27,36,27,42,25,13,28,17,13,11,51,47,14,22,14,12,55,60,94,106,86,103,91,79,63,34,13,27,34,37,41,51,58,30,38,74,102,98,64,46,48,44,48,48,46,48,52,18,37,33,37,13,28,15,5,5,5,1,NA,4,NA,1,NA
"22",NA,NA,12,17,14,10,17,9,12,9,5,11,2,23,10,10,12,5,15,NA,NA,7,10,17,9,2,4,16,17,21,18,18,19,28,10,28,28,34,28,41,28,16,20,17,14,18,48,45,15,20,17,12,58,60,91,100,93,91,81,79,67,32,10,27,29,34,37,44,55,33,35,73,101,107,58,42,45,41,42,50,44,46,50,24,31,30,36,14,34,20,5,5,3,1,NA,3,NA,1,NA
"23",NA,NA,10,15,15,9,17,8,11,7,4,14,4,22,11,9,8,5,19,NA,NA,5,13,17,9,2,5,13,18,20,19,20,17,24,12,31,24,28,26,40,24,17,21,18,12,15,46,47,14,24,12,12,59,58,88,106,90,91,68,70,66,29,11,25,38,36,34,50,49,30,33,70,110,102,60,36,47,44,55,52,43,43,41,26,34,35,35,17,31,18,4,5,3,1,NA,4,NA,1,NA
"24",NA,NA,10,14,12,10,19,8,11,12,4,13,1,21,10,10,10,5,18,NA,NA,5,15,16,8,3,5,11,16,18,20,19,17,27,11,28,31,31,27,44,26,15,20,14,11,14,49,46,18,28,13,10,51,57,92,104,92,88,79,78,58,33,14,26,29,29,37,52,60,29,31,65,99,102,65,43,45,42,44,47,45,50,45,24,34,29,32,13,37,15,5,5,5,1,NA,3,NA,1,NA
